	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE E1 Aroclor 1260 200mg/kg"	"TE E3 Aroclor 1260 200mg/kg"	"TE C2 Wy-14643 50mg/kg 48hrs"	"TE C1 Wy-14643 50mg/kg 48hrs"	"TE C3 Wy-14643 50mg/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE D1 PBDE 2mg/kg 48hrs"	"TE D3 PBDE 2mg/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"	"TE E2 Aroclor 1260 200mg/kg 48hrs"	"TE D2 PBDE 2mg/kg 48hrs "
25432_Fgf21	0.948931	0.632617	0.469231	-0.201446	0.167952	0.0101229	0.0727977	0.092862	0.251036	-0.422796	-0.183624	1.07275	-0.0212989	-0.11781	0.14801
25563_Fhit	0.175799	0.172851	-0.122903	0.150739	0.121388	-0.00119901	0.310661	1.03542	0.912568	0.104609	0.267758	0.316153	0.620608	0.180362	0.196559
25608_Sts	-0.0069086300000001	-0.148136	-0.206691	-0.0761765	-0.308168	-0.288835	-0.292584	-0.479227	-0.360885	-0.915571	-0.168441	-0.100117	0.0731781	-0.291365	-0.271575
25717_Arl4d	-0.489827	-0.722178	-0.51876	0.0124651	-0.553999	-0.313527	-0.493716	-0.580629	-0.492083	-1.0979	-0.152272	-0.254098	0.00715619	-0.247574	-0.335593
25944_Jsrp1	-0.437868	-0.760767	-0.807043	-0.159851	-0.531275	-0.461616	-0.537978	-0.662474	-0.451281	-0.157593	-0.00642928	-0.671681	-0.487657	-0.145704	0
26340_Krt23	-0.0611301	0.139119	0.63318	0.3579	1.04744	0.768053	1.0258	-0.306592	0.229537	-0.0161741	0.555306	0.325981	0.214276	0.332213	0.366896
26864_Pde4dip	0.208625	-0.141052	-0.208881	0.0729225	-0.0907186	-0.119622	-0.287063	-0.0043928	-0.174237	-0.219565	-0.0951829	-0.817877	-0.123343	0.0529365	0.135008
27273_Cyp2c40	-0.297258	-0.229864	-0.189745	-0.51593	-0.788654	-0.25999	-0.562454	-0.204808	-0.149364	-0.443817	-0.305256	-0.2746	-0.376733	-0.375553	-0.32288
27466_Apob	0.0403382	-0.238033	-0.0911144	-0.499828	-0.0521081	-0.092998	-0.934764	-0.281562	-0.196299	-0.232939	-0.37773	-0.0495944	-0.84405	-0.471456	-0.101844
27478_Cyp4a10	-0.575883	-0.446523	-0.698589	-0.315448	0.435864	0.260609	0.326454	-1.18019	-0.880501	-1.10067	-0.392739	-0.378058	-0.357793	-0.450292	-0.521654
