	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE E1 Aroclor 1260 200mg/kg"	"TE E3 Aroclor 1260 200mg/kg"	"TE C2 Wy-14643 50mg/kg 48hrs"	"TE C1 Wy-14643 50mg/kg 48hrs"	"TE C3 Wy-14643 50mg/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE D1 PBDE 2mg/kg 48hrs"	"TE D3 PBDE 2mg/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"	"TE E2 Aroclor 1260 200mg/kg 48hrs"	"TE D2 PBDE 2mg/kg 48hrs "
16_Hvcn1	0.108642	0.137066	0.234539	-0.193874	0.0793866	-0.0206084	0.116165	-0.00242389	0.144108	-0.00732133	-0.00886826	-0.161264	-0.0810557	0.0375745	-1.18812
22_Ptdss2	-0.063206	0.0246342	0.00346952	0.0509717	-0.155169	-0.0600178	0.235135	-0.0307773	-0.0784407	-0.277078	-0.0741536	-0.148346	0.0668449	-0.0882825	-1.05839
127_2810403D21Rik	-0.0877748	0.247713	0.664469	0.225928	0.216037	-0.0161377	0.86305	0.342311	0.382629	0.274617	0.256731	0.317462	0.027828	0.159267	0.202031
181_Megf11	-0.131031	-0.17355	-0.0951661	0.106436	-0.124257	-0.156047	-0.0844448	-0.246232	-0.0966403	-0.14992	-0.0307758	-0.43425	-0.127214	0.0702771	-0.996176
183_Srp9	-0.49354	-0.122964	0.199022	0.120898	0.194799	0.0263015	-0.041599	-0.0709893	0.0448355	-0.246619	-0.233684	-0.276529	0.0750263	-0.0219439	-1.20324
220_Cyp2b9	-1.18243	-1.15863	-0.377249	-0.57587	-1.22578	-0.113222	-0.861841	-1.52733	-0.688004	-1.5665	-0.399831	-1.08881	-0.234284	-0.0614767	-1.57378
265_Dscaml1	-0.115846	-0.357285	-0.355112	0.0654527	-0.309579	-0.21432	-0.339797	-0.298444	-0.314994	-0.273613	-0.0893402	-0.229953	-0.0612116	0.0338414	-0.93674
267_Lepre1	0.0727846	0.0391457	0.0492437	-0.0328613	0.00153546	0.0106927	0.0307111	-0.0373004	0.118464	-0.203222	0.00028398100000001	0.081533	0.0513877	-0.130077	-1.10698
273_7030407O06Rik	-0.643737	-0.487485	-0.284497	-0.24389	-0.154889	-0.212493	-0.510595	-0.414273	-0.255963	-0.270029	-0.434382	-0.529042	-0.114737	-0.185193	-0.826483
274_Esr1	-0.33411	-0.545025	0.116951	-0.227967	-0.29505	0.04454	-0.215037	-0.0736329	0.0879985	-0.0598162	-0.30865	-0.227945	0.100141	-0.376419	-0.895451
279_Cd207	-0.78944	-0.648409	-0.500239	-0.401356	-0.73021	-0.220631	-0.432896	-0.581797	-0.471414	-0.568907	-0.461986	-0.449161	-0.272582	-0.199033	-0.859499
282_Syn1	-0.300579	-0.450097	-0.408556	0.00217713	-0.478037	-0.458107	-0.372392	-0.511552	-0.438895	-1.00423	-0.165806	-0.211839	0.0190465	-0.22957	-0.299642
355_Ptchd1	-0.264067	0	0.706344	-0.260194	0.276153	0.0211506	0.10251	0.205902	0.552934	0.0757145	-0.0350587	0.0632057	0.0290426	-0.0693288	-0.981995
357_Ntrk2	-1.00181	-0.448277	0.0883459	-0.155424	-0.43274	0.0251918	0.165678	-0.750145	0.109649	-0.0767829	0.132161	-0.511745	-0.0379259	-0.470543	-1.0273
359_A_51_P345577	0.11498	0.108609	0.0983233	-0.0103629	0.153592	-0.0887566	0.0204829	0.103279	0.0852843	-0.0247109	-0.0131789	-0.12609	-0.0965502	0.0469281	-0.927354
434_Tmem191c	-0.333258	-0.136956	0.0950079	0.025863	-0.0379914	-0.0524217	-0.0552707	-0.0728602	-0.00010210500000003	0.122971	-0.0633032	-0.130577	-0.128184	0.111475	-0.940314
435_A_52_P764477	-0.180605	-0.118501	0.0732971	-0.323302	0.106843	-0.0204786	-0.00012975000000006	0.104714	-0.0570775	-0.0612903	-0.0926539	-0.132966	-0.029754	-0.219024	-1.30756
436_Ogg1	-0.136549	-0.179729	0.077854	0.0424807	0.026277	0.104187	0.12835	-0.0942937	0.105431	0.0106135	0.0168857	0.0246945	0.0308601	0.108908	-0.796342
438_Ihh	0.336782	0.518138	0.643933	0.179132	0.427793	0.0252321	0.455763	0.18375	0.504604	0.0843945	0.0303231	0.108239	-0.00844613	-0.0508809	-0.86559
692_Casp12	0.0270887	0.178574	0.643713	-0.156308	0.0694098	0.0562103	0.425491	0.0775141	0.227463	0.136873	-0.21915	0.25836	0.0227354	-0.0586126	-0.813833
821_Rmrp	0.393825	0.351311	0.409881	0.830551	0.466611	0.131542	0.759088	0.29383	0.263389	0.309017	0.288698	0.437896	0.265761	0.561034	0.489929
898_Cyp1a2	0.388024	0.424076	0.197352	0.1322	-0.0544466	0.244755	-0.09524	0.779299	0.720692	-0.127976	0.133832	0.290126	1.01716	0.311356	0.101339
1029_Atxn3	0.317325	0.285498	0.287093	-0.0837655	0.172558	-0.044804	0.247175	0.26909	0.142649	0.24012	0.135842	0.239345	-0.0712928	-0.013862	-0.979882
1200_Sox9	-0.0548072	0.0288408	0.219759	-0.0724828	-0.00214034	0.0681297	0.0518376	0.0331428	0.22054	-0.117616	-0.346268	0.307373	0.0379225	-0.0888084	-0.817374
1597_Arid5b	-0.524411	-0.683206	-0.542065	0.0556923	-0.535225	-0.404302	-0.586057	-0.639699	-0.503725	-1.00165	-0.129197	-0.240136	-0.0452304	-0.145981	-0.272561
1875_Xlr4b	-0.254754	-0.336376	-0.144293	0.296885	-0.830338	0.0424894	-0.432704	-0.0309227	0.46894	-0.762937	8.6811999999981E-5	-0.57728	0.140599	-0.21163	-0.743572
2077_Tfam	-0.244236	-0.401583	-0.411374	0.0609588	-0.375208	-0.416797	-0.388432	-0.448123	-0.381041	-0.798422	-0.120515	-0.156743	0.00152941	-0.146255	-0.231244
2161_A_52_P567281	-0.279034	-0.607936	-0.476536	-0.145999	-0.510147	-0.659693	-0.467246	-0.624811	-0.37448	-1.20965	-0.160263	-0.336391	-0.119427	-0.451076	-0.546735
2263_Cnih2	-0.0810448	0.103479	0.139301	0.0713218	0.143693	-0.0557762	0.213633	0.909133	0.961476	0.132865	0.115513	0.198599	0.5126	0.219363	0.123084
2306_A_52_P1156957	-1.73683	-1.17035	-1.32416	-1.64288	-0.63708	0.0298297	-0.912012	-1.2059	-0.853842	-2.37209	-1.52882	-1.09433	-0.27184	-1.59159	-1.98463
2605_BC048507	-0.409093	-0.684871	-0.453824	0.201946	-0.196255	-0.243232	-0.340659	-0.421623	-0.190821	-0.791387	-0.0501029	-0.170331	0.0967764	-0.0696621	-0.18124
2837_Plin4	-0.806973	-0.523938	-0.424101	-0.232181	-0.288649	-0.0119347	-0.473119	-0.823819	-0.353036	-0.283697	-0.43435	-0.416735	-0.034734	-0.184928	-0.123033
3152_Cox17	-0.219808	-0.479467	-0.347988	-0.00106206	-0.410675	-0.654871	-0.352239	-0.538167	-0.334059	-1.24744	-0.120473	-0.278521	-0.0794213	-0.437096	-0.516987
3326_Vapb	-0.343271	-0.815332	-0.369029	-0.592226	-0.232188	-0.120932	-0.801298	-0.390792	-0.472222	-0.298428	-0.160412	-0.169212	-0.691547	-0.422881	-0.163041
3342_Ahrr	-0.36757	-0.169984	-0.232859	-0.0659183	-0.0862573	-0.137431	-0.0479244	1.1244	0.702862	-0.1322	-0.094695	-0.205054	0.135031	-0.176901	-0.408792
3514_Cyp26b1	-0.941743	-0.760962	-0.909796	-0.777422	-0.572447	-0.0802419	-0.697929	-1.14631	-0.66418	-0.851946	-0.525898	-0.27274	0.0552578	-1.06303	0.0901388
3662_Mogat1	-0.233632	-0.246739	-0.235394	-0.0562182	0.829287	-0.0059099999999999	0.670877	-0.176646	-0.0902905	-0.117556	0.167253	-0.0865209	-0.150806	-0.0658594	-0.198283
3771_Cyp1b1	0.164153	0.380374	0.496132	-0.26749	0.566051	-0.0660038	0.039722	1.25519	1.21427	0.209698	-0.109644	0.0628909	0.421631	-0.221692	0.190731
4277_A930004D18Rik	-0.304113	-0.153153	0.218149	0.109256	0.0219905	0.0451398	0.167824	0.586562	0.828332	0.187298	-0.0166955	0.150957	0.830901	0.344529	-0.0223923
4436_Dirc2	-0.386596	-0.87735	-0.241379	-0.166705	0.0458147	0.0503766	-0.413758	0.0268002	-0.136932	0.200895	0.0295841	-0.129263	-0.327493	0.0242413	-0.0745528
4456_Grin2d	-0.141902	-0.459064	-0.339815	8.2013799999963E-5	-0.418036	-0.0831932	-0.32732	-0.501437	-0.436691	-1.21781	-0.119221	-0.186453	0.16238	-0.295484	-0.352582
6218_Vps13a	-0.264829	-0.60147	-0.405932	-0.082986	-0.522297	-0.318061	-0.384042	-0.600583	-0.519688	-1.42577	-0.171158	-0.234623	0.0349575	-0.387626	-0.484918
7105_Ffar2	-0.262979	-0.679774	-0.812846	-0.00076732000000007	-0.510289	-0.575782	-0.534999	-0.558961	-0.473453	-0.191951	-0.016063	-0.704885	-0.565037	-0.312581	0.147479
7115_Mogat1	-0.506602	-0.0427486	-0.0222133	-0.333086	1.16163	0.298325	0.956012	-0.555335	-0.0219037	-0.210769	0.23108	0.0842093	0.0327359	-0.0921267	-0.608578
7197_Gm11938	-0.386465	-0.604148	-0.499669	-0.0517234	-0.596355	-0.419701	-0.457199	-0.632303	-0.55666	-1.04837	-0.225331	-0.244688	0.0177202	-0.230695	-0.337209
7585_Acot4	-0.53365	-0.382969	-0.28726	-0.478692	-0.540453	0.104666	-0.0599173	-0.338864	-0.149305	-0.800343	-0.400813	-0.276538	0.0759331	-0.358107	-0.616081
7650_A_52_P471947	-0.81201	-0.684919	-0.551282	-0.20236	-0.803334	-0.137674	-0.372019	-0.438648	-0.344724	-0.606696	-0.253569	-0.361457	-0.242517	0.116102	-0.389471
7827_6030422H21Rik	-1.04368	-0.787418	-0.164689	-0.276342	0.00553983	-0.0466379	-0.536407	-0.675048	-0.466681	0.284403	-0.124377	-0.806191	-0.219494	0.397853	-0.152954
8022_A_52_P226559	-0.193896	-0.475371	-0.350565	-0.0281982	-0.469379	-0.120398	-0.338895	-0.541794	-0.466851	-1.23817	-0.153587	-0.186936	0.14066	-0.326865	-0.371516
8055_Xist	-2.74734	-2.79407	-2.08663	-2.81796	-3.07983	-0.51951	-2.28624	-3.07574	-2.29154	-3.0661	-2.51097	-2.01679	-0.99775	-2.78294	-2.75003
8168_A_51_P290904	-0.554781	-0.821174	-0.595621	0.0768355	-0.572082	-0.256495	-0.481418	-0.627119	-0.51751	-0.90564	-0.10276	-0.31356	-0.0865135	-0.0604175	-0.236726
8356_Tmem165	-0.423907	-0.697592	-0.5257	0.116888	-0.489099	-0.228594	-0.396633	-0.487384	-0.422459	-0.99712	-0.0772716	-0.202886	0.0324952	-0.175707	-0.287354
8618_Cpeb2	0.767925	0.846702	0.712634	0.781503	0.606682	0.0241926	0.853137	0.3893	0.483553	0.719287	0.751459	0.969631	0.567277	0.96158	0.479874
8729_Sufu	0.0757986	0.0172581	-0.883377	0.030829	0.0870219	-0.141248	-0.113419	-0.0061886300000001	-0.0625673	0.13284	0.00889253	0.137774	-0.180234	0.133401	0.116456
8900_Arhgap19	-0.0218757	-0.250756	-0.930169	0.126102	-0.230798	-0.12617	-0.221846	-0.520594	-0.202856	-0.386685	0	-0.205545	-0.106134	-0.0890593	-0.154764
9003_A_52_P170685	-0.34929	-0.570608	-0.833358	-0.219527	-0.414144	-0.430111	-0.131793	-0.234058	-0.278261	-0.285835	-0.185465	-0.399912	-0.400777	-0.158182	-0.0304049
9064_Zfp112	0.346408	0.182051	-0.835106	0.19444	0.0394982	-0.0446299	-0.0275717	-0.0369143	-0.133982	0.108493	0	0.10546	-0.0809043	0.537385	0.331301
9067_Rusc1	-0.332107	-0.613951	-0.487387	-0.108391	-0.536558	-0.609139	-0.439339	-0.616808	-0.511866	-1.33037	-0.219399	-0.301976	-0.0362074	-0.389618	-0.508785
9070_Havcr2	0	-0.429278	-0.818574	-0.213149	-0.383494	-0.123538	-0.386709	-0.0616223	-0.266766	-0.0675489	0	-0.221228	-0.0141113	-0.092936	0
9527_Acot3	-1.32494	-0.905357	-0.957106	-1.54806	-0.701153	0.0606179	-0.600599	-1.00217	-0.60846	-1.84666	-1.45122	-0.809563	-0.135752	-1.31077	-1.71716
9879_Cd40	-0.0234026	-0.19284	-0.797489	-0.0781351	-0.138576	-0.0571499	-0.141047	-0.168774	-0.217742	-0.319306	0.120878	-0.1271	0.0338382	0.0616795	0.0521851
9963_A_52_P224723	0.0775506	-0.220202	-0.819731	0.49187	-0.166771	-0.283329	-0.212914	0.00916889	-0.163949	0.411109	0.27314	-0.216514	-0.170956	0.276151	0.129347
10714_Gm7231	-1.17982	-0.887273	-0.643328	-0.547148	-0.475455	-0.0329619	-0.220714	-0.857494	-0.796564	-0.602261	-0.50253	-0.720576	-0.26315	-0.697816	-0.892077
10788_Olfr1143	-0.78899	-0.65131	-0.255104	-0.154569	-0.636595	-0.0424796	-0.193968	-0.668305	-0.33365	-0.668011	-0.385491	0.045831	0.0623523	0.00201852	-0.143407
11114_Ugt1a9	0.145251	0.251341	0.198285	-0.0953156	-0.159862	0.204784	0.392558	0.639797	0.830565	-0.246006	0.0739392	0.294335	0.74459	0.139222	-0.137076
11245_H1fx	-0.387742	-0.690106	-0.537562	-0.0326018	-0.584376	-0.688031	-0.51614	-0.62172	-0.421191	-1.1235	-0.124185	-0.360186	-0.115528	-0.355719	-0.495559
11396_C730007P19Rik	-2.52612	-2.29234	-1.83577	-2.26496	-2.1506	-0.421667	-1.64434	-2.16364	-1.54212	-2.42137	-2.44194	-2.18382	-0.708416	-2.47745	-2.76339
11564_Hsph1	-0.69573	-0.709131	-0.743853	-0.449512	-0.796606	-0.166365	-0.774612	-0.579096	-0.645281	-0.546027	-0.414612	-0.714907	-0.331255	-0.340713	-0.37416
11845_Cyp4a31	-0.23155	-0.0720237	-0.272972	-0.358933	0.231852	0.806265	0.488094	-0.733348	-0.294249	-0.781879	-0.218255	-0.153128	-0.067614	-0.457568	-0.515616
11857_A_52_P328440	-0.242604	-0.521781	-0.859664	-0.300052	-0.517594	-0.292773	-0.255235	-0.167828	-0.275293	-0.454691	-0.259997	-0.48726	-0.422115	-0.236755	-0.278441
12225_1810046K07Rik	-0.120294	0.323741	0.706516	0.162006	0.169198	0.114412	0.842781	0.659614	0.545865	0.546905	0.208399	0.361575	0.489633	0.333818	0.173449
12646_Ptprz1	-0.0988162	0.011971	0.0224543	0.186565	-0.163191	-0.552244	-0.225086	-0.162868	-0.0857416	-0.779889	-0.0907453	-0.218836	0.0072899	-0.288533	-0.299099
13031_A_52_P288338	-0.307974	-0.498958	-0.447262	0.0164775	-0.464553	-0.62254	-0.427504	-0.505973	-0.436946	-0.948668	-0.18044	-0.210012	-0.0586827	-0.199634	-0.313793
13175_Hoxb9	0.86741	0.896297	0.194139	1.10215	0.133083	-0.0859074	1.12038	0.195879	0.296638	0.452995	-0.371207	0.884281	0.712664	1.5753	0.887057
13533_Tgtp	-0.532863	-0.701394	-0.220118	-0.732537	-0.821088	-0.167732	-0.594888	-0.506457	-0.51936	-0.725612	-0.739553	-0.466469	-0.284576	-0.712849	-0.645972
13593_Ston1	-0.486453	-0.0383782	0.0434508	-0.556103	0.620635	0.238883	0.874594	-0.513488	-0.259666	-0.752611	-0.322599	0.227291	0.0721274	-0.403887	-0.447844
13655_Plat	0.066586	-0.0339454	-0.806771	0.0333267	0.00361419	-0.213135	-0.0567124	-0.263706	0.109476	0.140975	-0.100272	-0.00676499	-0.0382344	0.0726095	0.0390474
13683_Mup10	-0.261708	-0.465966	-0.829392	-0.240158	-0.368809	-0.371188	-0.154712	0.0470487	-0.108067	-0.171615	-0.167654	-0.335552	-0.384859	-0.152923	-0.159555
13684_Fabp12	0.070291	-0.157194	0.143955	0.00287298	0.0413879	-0.098141	0.26596	1.09855	0.74232	0.0679312	0.0254923	0.157114	0.221207	0.0790623	0.0604794
13740_Clcf1	0.0175363	0.00920299	-0.842984	-0.0881906	0.0331408	-0.0714872	-0.0866266	-0.0238799	-0.0863069	-0.206576	-0.198399	-0.00295238	-0.0707114	0.0277397	-0.0330152
14002_Mt2	-0.749798	-0.920629	-0.558641	-0.873339	-0.692083	-0.350586	-1.02469	-1.0992	-0.907048	-0.786036	-0.967476	-0.914129	-0.774893	-0.865723	-1.20589
14075_Cdkn3	-0.251247	-0.269801	0.662603	-0.317998	0.638672	0.0960103	0.813277	0.104677	0.290895	-0.27395	-0.0790796	-0.266163	0.0312895	0.392447	-0.295624
15203_A1bg	-1.4995	-1.54298	-1.12944	-1.44109	-1.40429	-0.156574	-1.03356	-1.63358	-0.913701	-1.58343	-1.49824	-1.62494	-0.34374	-2.02285	-2.30616
15275_Cyp2b13	-0.975143	-1.06966	-0.0776884	-0.475415	-1.06021	-0.342774	-1.18307	-1.59959	-0.957954	-1.3788	-1.12633	-1.16821	-0.631494	-0.00680026	-1.32673
15531_Fmo3	-2.36427	-2.19513	-1.78814	-2.17751	-2.43591	-0.944203	-2.31143	-0.662981	-0.580031	-2.33937	-2.18504	-2.31146	-0.646813	-2.3837	-2.68279
15776_Cyp3a11	-0.131398	0.0632245	-0.130409	-0.123079	-0.366264	-0.548132	-0.208912	-1.00082	-0.204367	-0.223897	-0.121674	-0.237845	-0.241525	-0.0890431	-0.258768
15841_Klf2	-0.271972	-0.579236	-0.456653	-0.126363	-0.519219	-0.626126	-0.436447	-0.611231	-0.462121	-1.28009	-0.227374	-0.306252	-0.0618919	-0.412875	-0.477165
16013_Tiam2	-0.890435	-0.535287	-0.638273	-0.0698905	-0.469983	0.115056	-0.0976049	-0.44379	-0.380144	-0.463291	0.026785	-0.394899	0.158162	-0.0821512	-0.11477
16669_Cyp2b10	-0.506544	-0.554106	0.546773	0.202709	-0.565002	0.0250198	-0.435843	-1.098	-0.211492	-0.787245	-0.481382	-0.387179	-0.0022425	0.797837	-0.725504
16739_Mfsd2a	-1.14297	-0.385444	-0.0091225800000001	-0.190426	-0.024197	0.19959	-0.132134	-0.800317	-0.315901	-0.301031	0.042937	-0.840658	-0.200983	-0.240794	0.0285322
16753_Foxq1	-0.117637	-0.4131	-0.320541	-0.0169343	-0.473752	-0.180269	-0.367189	-0.553608	-0.436305	-0.966767	-0.148186	-0.163229	0.136996	-0.116067	-0.333189
16763_Mtss1	-0.66436	0.0283849	-0.287929	-0.1666	0.163636	0.275243	-1.02783	-0.400978	-0.236073	0.0748944	-0.532861	-0.664671	-0.147862	-0.0386954	-0.15371
16845_Npb	0.559131	0.48289	0.836227	0.197732	0.716748	0.173827	0.93769	0.791865	0.726932	0.578578	0.426226	0.676643	0.176021	0.270126	0.61597
17917_Mthfr	-0.357164	-0.434235	-0.40403	0.0271844	-0.51396	-0.145593	-0.324661	-0.53986	-0.408203	-0.796583	-0.0312366	-0.191039	-0.00156594	-0.0603962	-0.220099
18172_Pik3c2a	0.259802	0.412217	0.777792	-0.349625	0.294973	0.336216	0.780787	0.277501	0.690184	0.192349	0.00533834	0.315806	0.125421	-0.170246	0.11437
18441_Emr1	-0.64935	-0.61533	-0.645541	-0.3398	-0.771391	0.0339911	-0.392621	-0.349646	-0.808396	-0.43547	-0.234894	-0.513986	-0.259427	-0.158637	-0.356823
18445_A_52_P477752	-0.392668	-0.622684	-0.448214	0.0183126	-0.491149	-0.260706	-0.361694	-0.543732	-0.480078	-1.10478	-0.125989	-0.242765	0.0661435	-0.235019	-0.352211
18663_Ctsm	-0.196571	-0.984532	-0.157113	0.175251	-0.121013	-0.0967868	-0.0366415	0.0140184	-0.0655577	0.09617	0.137398	-0.0348982	-0.101002	0.227965	0.0863803
18833_A_52_P1163917	0.318764	-0.983647	0.111265	-0.264468	-0.0906387	-0.0570087	-0.14661	-0.112556	0.0431189	0.547627	0	-0.350922	-0.19805	0	0
18993_Cyp7a1	-0.726983	-0.541154	-0.236637	-0.863205	-0.256268	0.164367	-0.234301	0.204028	-0.0849298	-0.281319	-0.501042	-0.699292	-0.203483	-0.498782	-1.02289
19003_A_52_P103319	-0.48266	-0.910215	0.0258049	-0.113519	0.0985496	-0.0425897	-0.117203	0.0176713	0.0831626	0.107263	-0.259323	-0.10033	0.0198278	-0.276245	-0.194741
19157_Cyp2b13	-1.41876	-1.56401	-1.41064	-1.34493	-1.47072	-0.339531	-1.35894	-1.63873	-1.34535	-1.59172	-1.41362	-1.89252	-0.844977	-1.85318	-1.93569
19424_H2-Ab1	-0.342616	-0.377778	-0.146778	-0.276523	-0.467084	0.0069089	-0.174584	-0.190093	-0.338744	-0.840348	-0.226755	-0.18581	0.0160532	-0.250691	-0.174644
19482_Afp	0.0765256	0.111221	0.808754	0.262455	0.376596	0.406658	0.760178	0.492064	0.510183	0.50155	0.436662	0.370945	0.380462	0.419195	0.215518
19757_Smpd3	0.168757	0.283135	0.307319	0.900415	0.152599	-0.119262	0.380888	0.573789	0.165553	0.451125	0.646659	0.107196	-0.0881525	0.467149	0.376552
20076_A_52_P237357	-0.631016	-0.315032	-0.514032	-0.116569	-0.238179	0.0914304	-0.890787	-0.235431	-0.364118	-0.303838	-0.567863	-0.496676	0.0359436	-0.149949	-0.427032
20089_Rgs16	-0.314909	0.621987	0.00868659	-0.0654543	0.109969	0.509602	-0.431009	-1.12606	-1.18646	0.160432	0.481989	0.437487	-0.41169	0.0905165	0.012692
