11845	 Cyp4a31 	NM_201640 	0	-1.7043155245969	-1.1803850490015	-1.8748736266009	-2.2852462239288	1.7055010848762	6.4012531123411	3.0767626864187	-5.4118780282538	-1.9690148883966	-6.0517224253275	-1.6529320476123	-1.4227480531371	-1.1684604042733	-2.8679263882575	-3.2780532187213
11857	 A_52_P328440 	A_52_P328440 	0	-1.748251864158	-3.3249184663462	-7.2387570348072	-1.9955012308575	-3.2930172067238	-1.9623343224538	-1.7998445610666	-1.4717295164155	-1.8849203361275	-2.8489904929108	-1.8196882886052	-3.0708598763954	-2.6431085526364	-1.7248645638517	-1.8986328905164
12225	 1810046K07Rik 	NM_027217 	0	-1.3191494477911	2.1073710032347	5.0876356284176	1.4521316793897	1.4763794787594	1.3014035887207	6.9627531750642	4.5668211110415	3.5145117530467	3.5229379990037	1.6158424003301	2.2991907311542	3.0876850853763	2.1568403515976	1.4909016658469
12646	 Ptprz1 	 	0	-1.2554985052664	1.0279476546632	1.0530628694535	1.5366147582273	-1.45609932317	-3.5665145490651	-1.6791364917032	-1.4550167737765	-1.2182645304809	-6.0240559938971	-1.2323818682005	-1.6551448231084	1.0169272850687	-1.9432693461385	-1.9911271764935
13031	 A_52_P288338 	A_52_P288338 	0	-2.0322353430293	-3.15469952213	-2.8006703909498	1.0386697894532	-2.9144257808773	-4.1931461520942	-2.676110240972	-3.2060699975869	-2.7349286452442	-8.8852162048349	-1.5150954710641	-1.6218549102471	-1.144676323607	-1.5835580924887	-2.0596479787267
13175	 Hoxb9 	NM_008270 	0	7.3690244926005	7.8758420902908	1.5636480226963	12.651732473758	1.3585730648752	-1.218729714426	13.194106946881	1.5699253421056	1.9798760402565	2.8378863558794	-2.3507530052947	7.6609212842667	5.160169886612	37.609711325977	7.7100465474211
13533	 Tgtp 	NM_011579 	0	-3.4108529787386	-5.0279853081424	-1.6600378868302	-5.4017813363067	-6.6235070056407	-1.4714042292541	-3.9344859609742	-3.2096449978066	-3.3064350800387	-5.31633084436	-5.4897554685352	-2.9273119119839	-1.9256439964904	-5.1623684749519	-4.4255983855558
13593	 Ston1 	NM_029858 	0	-3.0651589453789	-1.0923912177931	1.1052252544307	-3.5983466568011	4.1747935133118	1.7333369696112	7.4919349865056	-3.2620303694674	-1.8183019312432	-5.657323324113	-2.1018368406006	1.6876834827489	1.1806669327227	-2.534469095823	-2.8044260979692
13655	 Plat 	NM_008872 	0	1.1656978621763	-1.0812980007283	-6.4087156103817	1.0797586701682	1.0083567039501	-1.6335596593457	-1.1394949373544	-1.8352955010443	1.2866961456082	1.3834867367811	-1.2597141277011	-1.0156989184476	-1.0920295741158	1.1819782907905	1.0940757699572
13683	 Mup10 	 	0	-1.8268714972152	-2.9239234610752	-6.7513714056037	-1.7384331703847	-2.3378088588072	-2.3506501641766	-1.427946709448	1.1144194930116	-1.2825284271607	-1.4846189510887	-1.4711399863754	-2.1654691449887	-2.4258223888108	-1.4220766319311	-1.4439594588858
13684	 Fabp12 	NM_029310 	0	1.1756850615097	-1.43613081189	1.3930124566299	1.0066372102208	1.0999878800094	-1.2535480914441	1.8448454948049	12.547291855787	5.5248437487316	1.1693141361099	1.0604551364366	1.4358662911821	1.6642056802267	1.1996713849278	1.1494217213156
13740	 Clcf1 	NM_019952 	0	1.0412051319084	1.0214167841438	-6.966008499143	-1.2251537678593	1.0792965777618	-1.1789277760882	-1.2207496262761	-1.0565252968094	-1.2198513186538	-1.6090739355062	-1.5790613368011	-1.0068212657513	-1.1768236836203	1.0659570346278	-1.0789844852636
14002	 Mt2 	NM_008630 	0	-5.6207982858098	-8.3296930901299	-3.6194368192262	-7.4703164611936	-4.9213358058854	-2.2417439171595	-10.58497898195	-12.566085200763	-8.073242540921	-6.1099266986057	-9.2784621403387	-8.2059525239432	-5.9551540438968	-7.340455327796	-16.065342914664
14075	 Cdkn3 	NM_028222 	0	-1.7833927632286	-1.8612340969129	4.5983603319381	-2.0796871097686	4.3518307842956	1.2474130983226	6.505444857752	1.2725562843483	1.9538670094355	-1.8791004649134	-1.1997191744559	-1.8457080228609	1.0747055706169	2.4685788285441	-1.9752587758786
15203	 A1bg 	NM_001081067 	0	-31.586390484235	-34.912423734309	-13.472245865317	-27.611499973892	-25.368220271416	-1.4340820503394	-10.803388649022	-43.011045560758	-8.1978694886461	-38.320397023962	-31.494883048369	-42.163824792787	-2.2066832577399	-105.40227869419	-202.37646237945
15275	 Cyp2b13 	NM_007813 	0	-9.4437177807997	-11.7397811235	-1.1958821952695	-2.9882367328264	-11.487089372423	-2.2017803930842	-15.242984218759	-39.773151089311	-9.0772437990543	-23.922138475121	-13.376115187246	-14.730246007962	-4.2804950582289	-1.0157814089167	-21.219248554584
15531	 Fmo3 	NM_008030 	0	-231.35026430828	-156.72201254028	-61.395989055256	-150.49081701948	-272.84123080819	-8.7943348977403	-204.84718486952	-4.6023643820323	-3.8021653526067	-218.45902951154	-153.1228486543	-204.86133570049	-4.4341767452484	-241.93572366076	-481.71481153802
15776	 Cyp3a11 	NM_007818 	0	-1.3533122094585	1.156710026195	-1.3502338766279	-1.3276359383488	-2.3241491765625	-3.5329053303503	-1.6177522033646	-10.018899033968	-1.6009103043829	-1.6745456831834	-1.323347800852	-1.7291990967212	-1.7439137423212	-1.2275610500123	-1.8145460737754
15841	 Klf2 	NM_008452 	0	-1.870561536919	-3.7952116457571	-2.8618904142199	-1.3377131614096	-3.3053617721948	-4.2279125909271	-2.7317880442907	-4.0853662802322	-2.8981509371637	-19.058556325714	-1.6880060544629	-2.0241933791096	-1.1531661881354	-2.5874680747899	-3.0003021969107
16013	 Tiam2 	NM_011878 	0	-7.770250142864	-3.4299437673111	-4.347834456537	-1.1746013617564	-2.951093706951	1.3033348258208	-1.2520016464628	-2.7783694821445	-2.3996284373346	-2.9059691534684	1.0636163384351	-2.4825556922876	1.4393353772653	-1.208234409747	-1.3024768111184
16669	 Cyp2b10 	NM_009999 	0	-3.2102880340356	-3.5818384980669	3.5218673955955	1.5948101829751	-3.6728399189948	1.0593020189105	-2.7279914196476	-12.531411749414	-1.6273913377099	-6.1269593645876	-3.0295770345987	-2.4388158002287	-1.0051769011551	6.2782267932009	-5.3150089478825
16739	 Mfsd2a 	NM_029662 	0	-13.898566200032	-2.4290922031018	-1.0212276854468	-1.5503366004234	-1.057297000168	1.5833976644162	-1.3556076156831	-6.3141806065589	-2.0696695015889	-2.0000046251436	1.103918470715	-6.9287995916962	-1.5884845678257	-1.7409808736468	1.0679039674641
16753	 Foxq1 	NM_008239 	0	-1.3111035702106	-2.5888089418182	-2.0919003857055	-1.0397628587711	-2.9768160596586	-1.5144990316953	-2.3291046368891	-3.5777336030426	-2.7308949855303	-9.2633271038574	-1.4066498362969	-1.4562267348627	1.3708691399353	-1.3063724108405	-2.1537188046424
