./agilentarrayinfo.php?arrayid=
../agilentfeatureinfo.php?featurenum=
TE A1 Corn Oil 10 ml/kg 48hrs
TE A3 Corn Oil 10ml/kg 48hrs
TE E1 Aroclor 1260 200mg/kg
TE E3 Aroclor 1260 200mg/kg
TE C2 Wy-14643 50mg/kg 48hrs
TE C1 Wy-14643 50mg/kg 48hrs
TE C3 Wy-14643 50mg/kg 48hrs
TE B1 TCDD 10ug/kg 48hrs
TE B2 TCDD 10ug/kg 48hrs
TE D1 PBDE 2mg/kg 48hrs
TE D3 PBDE 2mg/kg 48hrs
TE A2 Corn Oil 10 ml/kg 48hrs    
TE B3 TCDD 10ug/kg 48hrs
TE E2 Aroclor 1260 200mg/kg 48hrs
TE D2 PBDE 2mg/kg 48hrs 
518
519
520
521
530
531
532
533
534
535
537
538
539
540
541
16	 Hvcn1 	NM_001042489 	0	1.2842276019864	1.3710901157426	1.7160858091123	-1.562694199084	1.20056754811	-1.0485964908389	1.3066672313995	-1.0055968169664	1.3935032951316	-1.0170008830131	-1.0206298362779	-1.4496528042798	-1.2051905009502	1.0903715214972	-15.42126499385
22	 Ptdss2 	NM_013782 	0	-1.1566607539141	1.0583619066249	1.0080208611616	1.1245316935428	-1.42945010205	-1.1482006807024	1.7184424802473	-1.0734388271066	-1.1979555392243	-1.8926835171794	-1.1861882015552	-1.407168160721	1.1663929876364	-1.2254130471028	-11.439051098475
127	 2810403D21Rik 	NR_015493 	0	-1.2239813487449	1.7689395825406	4.6181602622709	1.6823951201783	1.644511822498	-1.0378574329261	7.295414969886	2.1994343326231	2.4133982862208	1.8819886502936	1.8060551172785	2.0771219731177	1.0661737851952	1.4430022225307	1.592322383186
181	 Megf11 	NM_172522 	0	-1.3521690777648	-1.4912484318905	-1.2449906790955	1.277720903781	-1.3312419664957	-1.4323429011825	-1.2146322276274	-1.762917545012	-1.2492239445649	-1.412277369555	-1.0734351195866	-2.7180034271385	-1.3403369800812	1.1756474332148	-9.9123356584313
183	 Srp9 	 	0	-3.1155878390039	-1.3272844304972	1.5813281423789	1.3209853462713	1.5660261147735	1.0624328733779	-1.1005226873705	-1.177576960422	1.1087547668539	-1.7644891817353	-1.7127106568208	-1.8902924511901	1.1885742029199	-1.0518259953995	-15.967613063722
220	 Cyp2b9 	NM_010000 	0	-15.220537870232	-14.408872552165	-2.383685748826	-3.7659105482718	-16.81821886885	-1.2978425246633	-7.2751340509199	-33.676736589975	-4.875329804274	-36.855304185248	-2.5109091540186	-12.269023547838	-1.7150784893012	-1.1520642496527	-37.478310075467
265	 Dscaml1 	NM_001081270 	0	-1.3057078045201	-2.2765909233081	-2.2652284109639	1.162659916171	-2.0397596667597	-1.6380230168457	-2.1867392489275	-1.9881264353716	-2.0653516217263	-1.8776429027014	-1.2284011094184	-1.6980598759318	-1.1513612265886	1.0810390945411	-8.6445024156933
267	 Lepre1 	NM_019782 	0	1.1824549400117	1.0943234355965	1.1200662211029	-1.0786021955954	1.0035417846557	1.0249264476484	1.07327521408	-1.0896835630914	1.3136026019032	-1.5966951275256	1.0006541042502	1.2065157621859	1.125609370845	-1.3492020736357	-12.793223878277
273	 7030407O06Rik 	 	0	-4.4028815311079	-3.0724512447283	-1.9252937455737	-1.7534363275945	-1.4285287985361	-1.6311466180387	-3.2403729641046	-2.5958105907776	-1.8028641381372	-1.8622114816228	-2.7188296660071	-3.3809753155511	-1.3023778457767	-1.5317680265109	-6.7063003508222
274	 Esr1 	NM_007956 	0	-2.1582910012836	-3.5077206543463	1.3090342206957	-1.6903124878483	-1.9726498327468	1.1080006113025	-1.6407295502632	-1.1847668662547	1.2246119695978	-1.1476678083101	-2.035401077087	-1.6902268640736	1.2593342065381	-2.3791345286381	-7.8605149857209
279	 Cd207 	NM_144943 	0	-6.1580044726242	-4.4505019944757	-3.1640183969063	-2.5197415647248	-5.3729153705892	-1.6619999255742	-2.7095427031206	-3.8176578234384	-2.9608335962073	-3.7060135255786	-2.8972501898846	-2.8129434408338	-1.8731907304764	-1.5813681954548	-7.2360073612606
282	 Syn1 	NM_013680 	0	-1.9979241662317	-2.8190124895208	-2.5618635816892	1.0050256133267	-3.0063324181579	-2.8714879623354	-2.3571759424656	-3.2475212384878	-2.7472298710959	-10.097875224841	-1.4648933247228	-1.6286921381495	1.0448320836193	-1.6965630338761	-1.9936182471533
355	 Ptchd1 	NM_001093750 	0	-1.8368216938539	1	5.0856210965656	-1.8205139033083	1.888656597164	1.0499064408719	1.266222423024	1.6065786822626	3.57218547304	1.1904591571203	-1.0840734293757	1.1566599549215	1.0691597480926	-1.1730831589397	-9.5938958607155
357	 Ntrk2 	NM_008745 	0	-10.041763758702	-2.8072235593711	1.2255919507305	-1.4302896632804	-2.7085696012903	1.0597216328805	1.4644616390254	-5.6252910815573	1.2872087995425	-1.1933913894484	1.3556918961539	-3.2489647541531	-1.0912541290869	-2.9549014422126	-10.64878356127
359	 A_51_P345577 	A_51_P345577 	0	1.3031067667862	1.2841300232637	1.2540743928263	-1.0241484215768	1.4242689287284	-1.2267515065443	1.0482935170445	1.2684664939818	1.2169824069817	-1.0585488386037	-1.0308106573788	-1.3368725314908	-1.2489648038035	1.1141100708627	-8.4596812561336
434	 Tmem191c 	NM_177473 	0	-2.1540610111624	-1.3707428840359	1.2445372502236	1.0613606937408	-1.0914187237082	-1.1282924966123	-1.1357184995497	-1.182660794284	-1.0002351330904	1.327305823967	-1.1569196565992	-1.3507562944365	-1.343333978496	1.2926322887691	-8.7159353453983
435	 A_52_P764477 	A_52_P764477 	0	-1.5156712054061	-1.3137145198961	1.1838511490132	-2.10524187545	1.2789188839083	-1.0482831378202	-1.0002988050492	1.2726647052246	-1.1404532836852	-1.1515698876305	-1.2378097522	-1.3582071112516	-1.0709125300662	-1.6558614672275	-20.302989966568
436	 Ogg1 	NM_010957 	0	-1.3694588911608	-1.5126170799807	1.1963382817761	1.1027592262594	1.0623729396871	1.2711213111429	1.3438475380102	-1.2424922828498	1.2747675508614	1.0247395542459	1.0396465099578	1.0585088660185	1.0736435020722	1.2850144164453	-6.2566520022757
438	 Ihh 	NM_010544 	0	2.1716108357455	3.2971446452801	4.4048690293982	1.5105391995449	2.6778916433982	1.0598199734423	2.8560315454394	1.5266869735747	3.1959796107392	1.2144915570325	1.0723167749666	1.2830364662612	-1.0196382760045	-1.1242966069628	-7.3382077029134
692	 Casp12 	NM_009808 	0	1.0643603802432	1.5085996408913	4.4026382256056	-1.433203961753	1.1733019703716	1.138178296629	2.6637348949087	1.1954023355136	1.6883520131147	1.3704809401404	-1.6563419449268	1.8128421903914	1.0537446920526	-1.1444915749215	-6.5137787045007
821	 Rmrp 	NR_001460 	0	2.4764239755942	2.2454893519971	2.5696915712065	6.7694128271257	2.9282692031142	1.3537610046373	5.7423280577079	1.9671161320937	1.8339563719044	2.0371218171326	1.9440077860057	2.7409177289166	1.8440003536143	3.6394352738392	3.0897902613664
898	 Cyp1a2 	NM_009993 	0	2.4435655853874	2.6550701492197	1.5752591103784	1.3558136438624	-1.1335654485458	1.7569321902991	-1.2452025460275	6.0158777184483	5.2564434919106	-1.3426907592542	1.3609181308219	1.9504103818998	10.403033571587	2.0481228366554	1.262812871833
1029	 Atxn3 	NM_029705 	0	2.0764668396928	1.9297364494044	1.9368366745485	-1.2127338504785	1.4878460625573	-1.1086743502011	1.7667495932447	1.8581894927425	1.3888297150918	1.7382810672077	1.367231324802	1.7351818647424	-1.178400179531	-1.0324332909941	-9.5473314496904
1200	 Sox9 	NM_011448 	0	-1.1345070526083	1.0686630659402	1.6586662199588	-1.1816335136566	-1.0049404790969	1.1698487086591	1.1267760309614	1.0793015481176	1.6616517144976	-1.311040174265	-2.2195656752862	2.0294249717705	1.0912455859217	-1.2268978347168	-6.5671056020973
1597	 Arid5b 	NM_023598 	0	-3.3451145937081	-4.8217645536851	-3.4838945389776	1.1368215561762	-3.4294541425433	-2.536892123093	-3.8552895399906	-4.3621339748843	-3.1895175782395	-10.03806491761	-1.3464709872637	-1.7383451090285	-1.1097634059255	-1.3995260932028	-1.8731001558641
1875	 Xlr4b 	NM_021365 	0	-1.7978522585329	-2.1695816549749	-1.3940970236645	1.981002392291	-6.7660935784053	1.1027813174942	-2.7083450889642	-1.073798270162	2.9440148750156	-5.7934464893875	1.0001999119968	-3.7781569920231	1.3822894710633	-1.6279085344477	-5.5407939500135
2077	 Tfam 	 	0	-1.7548338371916	-2.5210589446793	-2.5785407548978	1.1506912217109	-2.3725097179464	-2.6109406507846	-2.4458622832581	-2.8062282996876	-2.4045897969693	-6.2866893400819	-1.3198208959187	-1.434640213149	1.003527804774	-1.4004093444487	-1.7031151021047
2161	 A_52_P567281 	A_52_P567281 	0	-1.9012271171626	-4.0544878190513	-2.9959599264312	-1.3995840999074	-3.2370320545238	-4.5676519106449	-2.9325538787767	-4.2151302585155	-2.3685360541563	-16.205035993723	-1.4463153650825	-2.1696565909647	-1.3165186022064	-2.825374362188	-3.5215592519009
2263	 Cnih2 	NM_009920 	0	-1.2051602532446	1.269050778916	1.3781643134866	1.1784788697922	1.3921723372819	-1.1370411964114	1.6354339159733	8.1120944769592	9.1511568672219	1.3578912818456	1.3047070226416	1.5797886888863	3.2553673247164	1.6571544981109	1.3276512234104
2306	 A_52_P1156957 	A_52_P1156957 	0	-54.554427173204	-14.803008891487	-21.094051403706	-43.942018237862	-4.3359074139786	1.0710992124848	-8.1660493467506	-16.065712837114	-7.142364335568	-235.55373775924	-33.79247490892	-12.425961394648	-1.8699930825331	-39.047209269354	-96.522819617393
2605	 BC048507 	NM_001001185 	0	-2.5650332549929	-4.8402857353917	-2.8433086089727	1.5920107647704	-1.5712851280484	-1.7507817059943	-2.1910838612117	-2.6401159447597	-1.5517473057277	-6.1856736026288	-1.1222843323701	-1.4802361287089	1.2496154900006	-1.1739837890512	-1.5178889521623
2837	 Plin4 	NM_020568 	0	-6.4116971395476	-3.3414733365541	-2.6552229917425	-1.7067935775707	-1.9437884624546	-1.0278617384427	-2.9724804024596	-6.6652892345811	-2.2544260806912	-1.921750487894	-2.7186293426143	-2.6105679387821	-1.0832632254607	-1.530833649662	-1.3274953240387
3152	 Cox17 	 	0	-1.658853372302	-3.0162476739457	-2.2283735761823	-1.0024484761577	-2.5743939136348	-4.5172174796406	-2.2502926413275	-3.4527648356887	-2.1580375640817	-17.678279664031	-1.3196932640937	-1.898982663834	-1.2006634769325	-2.7358734192809	-3.2884178730809
3326	 Vapb 	NM_019806 	0	-2.2043015193738	-6.5363003457956	-2.3389934196548	-3.910443361604	-1.7068210880546	-1.3210887674793	-6.3284594255572	-2.4591895234839	-2.9663473213402	-1.9880531914361	-1.4468116595789	-1.4764270723779	-4.9152657106352	-2.6477745287869	-1.4555964911217
3342	 Ahrr 	NM_009644 	0	-2.3311488218003	-1.4790538968052	-1.7094602239403	-1.1639070532201	-1.2197120095606	-1.3722429239664	-1.1166688462478	13.3168037627	5.0450096350834	-1.3558136438624	-1.2436409103606	-1.6034447499665	1.3646805441978	-1.5027993550255	-2.5632561025087
3514	 Cyp26b1 	NM_175475 	0	-8.744661441788	-5.7671599955332	-8.1244879709142	-5.9899334876384	-3.7363452535945	-1.2029342768299	-4.988029347236	-14.005867065717	-4.6150881432342	-7.1112508715064	-3.3565877093061	-1.8738723370622	1.1356847654092	-11.561921063549	1.2306620260872
3662	 Mogat1 	NM_026713 	0	-1.7125055986719	-1.7649767954769	-1.7194676126457	-1.1381990007611	6.7497393141569	-1.0137012919548	4.6868062457309	-1.5019172315592	-1.231091974076	-1.3108590598826	1.4697822558671	-1.2204525524245	-1.4151614839748	-1.1637492122165	-1.5786396260441
3771	 Cyp1b1 	NM_009994 	0	1.4593282845415	2.4008996041001	3.1342382037813	-1.8513562646611	3.6817220624356	-1.1641362153522	1.0957765445882	17.996580774417	16.37834443332	1.620682713947	-1.2871939800889	1.1558218493612	2.6401645779406	-1.6660652263287	1.5514257663263
4277	 A930004D18Rik 	NR_028376 	0	-2.0142482732054	-1.4228299554559	1.6525286590732	1.286044510651	1.0519388628735	1.1095319176566	1.4717159613481	3.8597750991746	6.7349131553455	1.5392104386101	-1.0391912947057	1.4156536075135	6.7748705281964	2.2106958705162	-1.0529125446383
4436	 Dirc2 	NM_153550 	0	-2.4355441130198	-7.5396294129686	-1.7433275764257	-1.4679288297606	1.1112574869765	1.1229918385591	-2.5927342216587	1.0636535649069	-1.3706671360777	1.5881627297954	1.0704936611623	-1.3466756268384	-2.1256560834129	1.0574048547414	-1.1872790374909
4456	 Grin2d 	NM_008172 	0	-1.3864429380923	-2.8778224750814	-2.1868298835633	1.0001888615854	-2.6184000464243	-1.2111367993646	-2.1248095028468	-3.1727583810444	-2.7333232780815	-16.512392376014	-1.3158942826873	-1.5362185324623	1.4533827456283	-1.9746221303015	-2.2520705945067
6218	 Vps13a 	 	0	-1.8400473547971	-3.994569668455	-2.546431511853	-1.2105591091065	-3.3288712624779	-2.0799888170131	-2.4212631923244	-3.9864195131592	-3.3089332014558	-26.654466845715	-1.4830575358672	-1.7164177616365	1.0838208462681	-2.4413272571375	-3.0543443619691
7105	 Ffar2 	NM_146187 	0	-1.8322258242559	-4.7838108556532	-6.498991964561	-1.0017683813389	-3.2380906305032	-3.7651475485817	-3.4276699729536	-3.6221047015945	-2.9747673076819	-1.5557900870882	-1.0376789335752	-5.068564762842	-3.673135926848	-2.0539080638813	1.4043617750239
7115	 Mogat1 	NM_026713 	0	-3.2107167964251	-1.1034396869776	-1.0524786627489	-2.1532080757648	14.508750085224	1.9875817481943	9.0367444282495	-3.5919890163198	-1.0517286387673	-1.6246843608945	1.7024720864603	1.2139737611718	1.0782908004579	-1.2363080582989	-4.0604858369349
7197	 Gm11938 	NM_001127354 	0	-2.4348095695773	-4.019277574968	-3.1598684305535	-1.1264797782773	-3.9477987027757	-2.6284577467745	-2.8654906783205	-4.2884761586097	-3.6029646406922	-11.178151721082	-1.6800840158335	-1.7566611636523	1.0416461187908	-1.7009635217905	-2.1737470218278
7585	 Acot4 	NM_134247 	0	-3.4170395067046	-2.4152884246709	-1.9375815928812	-3.0108699692677	-3.4709871031217	1.2725240528961	-1.1479350065514	-2.1820464935508	-1.4102788732908	-6.3145586302661	-2.5165930911938	-1.8903316246289	1.1910585197359	-2.2809039641539	-4.1312454641338
7650	 A_52_P471947 	A_52_P471947 	0	-6.4864936907996	-4.8408207331057	-3.5586231528441	-1.5935291048151	-6.3581972956583	-1.3730109473942	-2.3551523174759	-2.7456678598805	-2.2116887048874	-4.0429279338458	-1.7929533912524	-2.298566114302	-1.7479016808492	1.3064776962603	-2.4517207347705
7827	 6030422H21Rik 	 	0	-11.058086937677	-6.1294005080033	-1.4611304784025	-1.8894786978229	1.012837633884	-1.1133658598285	-3.4388006487624	-4.732035564612	-2.9287412223845	1.9248770743164	-1.3316098530676	-6.4001624874408	-1.6576544353483	2.4994991879912	-1.4221781435801
8022	 A_52_P226559 	A_52_P226559 	0	-1.5627733622891	-2.9879339987106	-2.2416355218516	-1.067082997315	-2.9469922924525	-1.3194653808185	-2.1822022538894	-3.4817212649662	-2.9298878716913	-17.304936101494	-1.4242525313208	-1.5379279861594	1.3824836378861	-2.1225845561797	-2.352426158375
8055	 Xist 	NR_001463 	0	-558.90758047393	-622.40059620826	-122.07591833052	-657.5972676195	-1201.7939129657	-3.3075772794971	-193.30362572198	-1190.5290580769	-195.67709849035	-1164.3941101974	-324.31721353612	-103.94174414022	-9.9483258082408	-606.6525116569	-562.38017169462
8168	 A_51_P290904 	A_51_P290904 	0	-3.5874098809457	-6.624818737723	-3.9411321733515	1.1935359369645	-3.7332063854976	-1.80507395533	-3.0298281759286	-4.2375906335802	-3.2923803423202	-8.0471111495941	-1.2669515290764	-2.0585432691601	-1.2204317571523	-1.1492579058924	-1.7247493899216
8356	 Tmem165 	 	0	-2.654037164503	-4.9841602815717	-3.355057749989	1.3088443422192	-3.0838908613214	-1.6927545896681	-2.4924875632926	-3.0717367951842	-2.645202959935	-9.9339049444035	-1.1947350368006	-1.5954602923938	1.0776933425215	-1.4986734032056	-1.9380010142402
8618	 Cpeb2 	NM_175937 	0	5.8603695077877	7.0259005797444	5.1598134470154	6.046485280944	4.0427976073481	1.0572862883505	7.1307793805094	2.4507555792438	3.0447595407009	5.2394656806096	5.6423367179295	9.324616944095	3.6921301347999	9.1533485466391	3.0190756818164
8729	 Sufu 	NM_015752 	0	1.1906897087706	1.0405383711655	-7.644991378836	1.0735666207883	1.2218612729376	-1.3843566778681	-1.2984313715979	-1.0143518602373	-1.1549609481642	1.3578131175898	1.0206868744843	1.3733271312488	-1.5143769824121	1.3595682063306	1.3075430601264
8900	 Arhgap19 	NM_027667 	0	-1.0516608335019	-1.7813776534804	-8.5146931185484	1.3369094711543	-1.7013669807967	-1.3371188151946	-1.6666561146573	-3.3158433115241	-1.5953500857077	-2.4360432803988	1	-1.6052585804814	-1.2768327101791	-1.2276068411994	-1.4281176940621
9003	 A_52_P170685 	A_52_P170685 	0	-2.235064188035	-3.7205573217683	-6.8133076556994	-1.6577803975168	-2.5950396626336	-2.692222813005	-1.3545436354029	-1.7141862216815	-1.8978461360866	-1.9312344503947	-1.5327276781288	-2.5113775058343	-2.5163844917291	-1.4394016626352	-1.0725187664195
9064	 Zfp112 	 	0	2.2202812940613	1.5207261009111	-6.840785927191	1.5647321285589	1.0952120160834	-1.1082299938286	-1.0655447656341	-1.0887152342784	-1.3613882564751	1.2837870781028	1	1.2748526762655	-1.2047704310476	3.4465533069281	2.1443763064897
9067	 Rusc1 	NM_028188 	0	-2.1483597145043	-4.1110333506764	-3.0717580140635	-1.2834855985506	-3.4399964944402	-4.0657343596382	-2.7500399316441	-4.138166875316	-3.2498700834205	-21.397843162865	-1.6572918704173	-2.004361259208	-1.086944576758	-2.4525507336872	-3.2268962325434
9070	 Havcr2 	NM_134250 	0	1	-2.6870639350155	-6.5852762776087	-1.6336123199361	-2.4182099288948	-1.3290398406776	-2.4361779048452	-1.152450551305	-1.8482724923461	-1.168285267184	1	-1.6642861536514	-1.0330261134185	-1.2386140441695	1
9527	 Acot3 	NM_134246 	0	-21.131970707042	-8.0418691059567	-9.0595369367542	-35.32319672208	-5.0251959374286	1.1497883395942	-3.9865663809869	-10.050091135228	-4.0593827323306	-70.252211477729	-28.263113332601	-6.45004879335	-1.3669480191761	-20.453611376873	-52.138676170751
9879	 Cd40 	NM_011611 	0	-1.0553647881246	-1.5589780482767	-6.2731980675322	-1.1971128703599	-1.3758655608217	-1.1406434212623	-1.3837161187022	-1.4749387986422	-1.6509807137592	-2.085960114236	1.3209245140487	-1.3399851948998	1.0810311291801	1.1526023481055	1.1276779797076
9963	 A_52_P224723 	A_52_P224723 	0	1.1955028065549	-1.6603589976767	-6.6028434424326	3.1036304205603	-1.4681519287611	-1.9201227798102	-1.6327285991784	1.0213365875343	-1.4586429590912	2.5769678478103	1.8755990323165	-1.6463190365283	-1.4823678932964	1.888647899599	1.3469361221885
10714	 Gm7231 	XM_001477336 	0	-15.129340597769	-7.7138821574397	-4.3987370371317	-3.5249097336512	-2.9885119722757	-1.0788520720127	-1.6623175883172	-7.202678003022	-6.2598510569891	-4.0018517867942	-3.1807533994017	-5.2550396840199	-1.8329473906559	-4.9867316701579	-7.7996838592039
10788	 Olfr1143 	NM_146293 	0	-6.1516270790198	-4.4803299663509	-1.7993017402601	-1.427476607308	-4.3310679757606	-1.1027564331463	-1.5630324699094	-4.6591318410301	-2.1560061731343	-4.6559788623989	-2.4293550973273	1.1112991956275	1.1543893195595	1.004658631903	-1.3912558388428
11114	 Ugt1a9 	NM_201644 	0	1.3971756238119	1.7837788078831	1.578646895965	-1.2454193240672	-1.4449805454772	1.6024482014205	2.4692098457027	4.3631184160484	6.7696310507299	-1.7620003891785	1.1856027555133	1.9694048358969	5.5537969800611	1.3779136423786	-1.3711216866227
11245	 H1fx 	 	0	-2.4419794224252	-4.898983762435	-3.4479582620699	-1.0779579008235	-3.8403959232722	-4.8756329119627	-3.2820107558866	-4.185236459493	-2.6374910828941	-13.289235571267	-1.33102128334	-2.2918489975919	-1.3047520864039	-2.2683966644042	-3.1301056754259
11396	 C730007P19Rik 	NM_009286 	0	-335.83039479156	-196.03788121753	-68.51252917218	-184.06024679096	-141.44903860233	-2.6403834383411	-44.089989967056	-145.76055055026	-34.843357749162	-263.85783824804	-276.65594047012	-152.69330662736	-5.1099423443121	-300.22717516543	-579.94926184065
11564	 Hsph1 	NM_013559 	0	-4.962836869583	-5.1183620183722	-5.5443801500957	-2.8152178014012	-6.2604564675314	-1.4667800689357	-5.9513021482215	-3.7939884112434	-4.4185624754529	-3.5158229764912	-2.5978376101436	-5.1868895476825	-2.1441491885078	-2.1913563166298	-2.3667914950952
