http://edge.oncology.wisc.edu/agilentarrayinfo.php?arrayid=
./agilentfeatureinfo.php?featurenum=
TE A1 Corn Oil 10 ml/kg 48hrs
TE A3 Corn Oil 10ml/kg 48hrs
TE B1 TCDD 10ug/kg 48hrs
TE B2 TCDD 10ug/kg 48hrs
TE A2 Corn Oil 10 ml/kg 48hrs    
TE B3 TCDD 10ug/kg 48hrs
518
519
533
534
538
539
220	 Cyp2b9 	NM_010000 	0	-15.220537870232	-14.408872552165	-33.676736589975	-4.875329804274	-12.269023547838	-1.7150784893012
898	 Cyp1a2 	NM_009993 	0	2.4435655853874	2.6550701492197	6.0158777184483	5.2564434919106	1.9504103818998	10.403033571587
3514	 Cyp26b1 	NM_175475 	0	-8.744661441788	-5.7671599955332	-14.005867065717	-4.6150881432342	-1.8738723370622	1.1356847654092
3771	 Cyp1b1 	NM_009994 	0	1.4593282845415	2.4008996041001	17.996580774417	16.37834443332	1.1558218493612	2.6401645779406
15275	 Cyp2b13 	NM_007813 	0	-9.4437177807997	-11.7397811235	-39.773151089311	-9.0772437990543	-14.730246007962	-4.2804950582289
15776	 Cyp3a11 	NM_007818 	0	-1.3533122094585	1.156710026195	-10.018899033968	-1.6009103043829	-1.7291990967212	-1.7439137423212
18993	 Cyp7a1 	NM_007824 	0	-5.3331401906356	-3.4765941895939	1.5996611592564	-1.2159894304365	-5.0037084866872	-1.5976549893131
19157	 Cyp2b13 	NM_007813 	0	-26.227687472551	-36.644601228194	-43.524120098262	-22.148789720926	-78.076439483915	-6.9980493373149
20284	  	A_51_P182362 	0	-4.8206433292253	-5.6329254043153	-6.8323326034425	-2.442761125807	-4.0185280118516	-1.5123071310117
21336	 Cyp2b9 	NM_010000 	0	-23.408845754896	-28.338704979448	-54.550658817037	-15.44258498272	-42.593173562327	-10.552855709061
22754	 Cyp2a4 	NM_009997 	0	-7.8047860070192	-4.2052711138116	-3.5252587563275	-3.039268017657	-5.2296906504504	-2.5147858034972
24454	 Cyp3a16 	NM_007820 	0	1.0032312461016	-1.0809898098114	-14.104250087817	-1.8713714521035	-1.0970464085493	-1.6968638595612
28351	 Cyp4a14 	NM_007822 	0	-10.865507101898	-3.8011236730251	-101.6904103873	-29.979887581565	-4.0729773972421	-5.3177265362062
29221	 Cyp26a1 	NM_007811 	0	-4.6712057840269	-5.6708217970844	-3.6667559045728	-4.7600882014553	-9.2640950012441	-1.2436317469095
34474	 Cyp1a1 	NM_009992 	0	-1.3356817744227	1.1146622673761	228.8495169152	73.737770101315	1.0608945051265	104.27975448505
34835	 Cyp3a41a 	NM_017396 	0	-1.6376986838446	-1.2575498217606	-14.022324074076	-1.4797419976041	-1.2015396311811	-1.8131344095791
36488	 Cyp3a44 	NM_177380 	0	1.2271942168558	1.1138722898493	-10.799409266631	-1.5567755422979	1.212824328355	-1.2910290065292
38709	 Cyp1a2 	NM_009993 	0	2.8131053715354	3.2452263976317	13.804160494911	13.228786274193	2.0834064291029	15.73874141337
40638	 Cyp3a44 	NM_177380 	0	-47.22696098574	-60.104916755944	-140.85426443217	-36.510686588989	-40.345026029733	-4.7389267955679
