,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,TE B3 TCDD 10ug/kg 48hrs
24454,Cyp3a16,NM_007820,0,1.0032312461016,-1.0809898098114,-14.104250087817,-1.8713714521035,-1.0970464085493,-1.6968638595612
24757,Ccrn4l,NM_009834,0,-8.2856579364437,-1.7345666816204,-2.3265586226982,-1.5291426444422,-4.961991317412,-1.0206486136462
25432,Fgf21,NM_020013,0,8.8905985425464,4.2915778982918,1.2384030130956,1.7825265204079,11.823607382363,-1.0502650171803
25563,Fhit,NM_010210,0,1.4989909125541,1.4888501876436,10.849756713193,8.1765105227786,2.0708707787923,4.1745339753123
26864,Pde4dip,NM_178080,0,1.6166834780578,-1.3837320494144,-1.0101661232531,-1.4936092687168,-6.5747160321378,-1.3284432302995
27466,Apob,NM_009693,0,1.0973323938534,-1.729947804838,-1.9123263093497,-1.5714443288922,-1.1209710584471,-6.9831279568105
27478,Cyp4a10,NM_010011,0,-3.7660232772424,-2.795908793472,-15.142235629819,-7.5945317137141,-2.3881301962507,-2.2792554398805
28351,Cyp4a14,NM_007822,0,-10.865507101898,-3.8011236730251,-101.6904103873,-29.979887581565,-4.0729773972421,-5.3177265362062
28764,Cyfip2,NM_133769,0,1.9994520797838,1.6733816412103,13.507656251627,7.8206887129697,-1.0182856415662,1.0620630508337
28820,A_52_P327146,A_52_P327146,0,-6.2793110981815,-2.7207397393209,-2.1761558747681,-1.7028210099409,-5.3204700156586,1.2407020505455
28925,Dido1,NM_177852,0,-8.1624963484784,-2.5266727701241,-2.2412019930298,-1.9601802089187,-2.8703245133118,1.0980689216543
29221,Cyp26a1,NM_007811,0,-4.6712057840269,-5.6708217970844,-3.6667559045728,-4.7600882014553,-9.2640950012441,-1.2436317469095
30210,Tmem86b,NM_023440,0,2.3602825740184,2.11740044492,4.4039562912574,6.8024913780945,3.1916039948735,5.9253362410939
30425,Mbip,NM_145442,0,-1.491533458418,-1.4969834534535,-1.2323361826551,1.1679902030877,-49.09870075307,-1.5909700348595
30718,A_52_P55258,A_52_P55258,0,-4.6174159627675,-7.5222367845668,-5.6742961692103,-2.863386677613,-4.1211554839419,-1.5715926896509
32759,Srrm4,NM_026886,0,-6.0280382583152,-8.2913643518772,-4.8639152602846,-3.0369525048203,-2.5919224299733,-2.197075595044
33058,1810011O10Rik,,0,-6.6366665855564,-4.2195195168565,-3.7775741686074,-2.1188538409223,-2.2522883995739,-1.4891827605945
34125,Moxd1,NM_021509,0,-8.6407213493894,-5.8356065086574,7.9225137206804,-1.4810816457701,-4.286284561758,1.0799123304991
34474,Cyp1a1,NM_009992,0,-1.3356817744227,1.1146622673761,228.8495169152,73.737770101315,1.0608945051265,104.27975448505
34511,Khdc1c,NM_001033904,0,-2.2707169405636,-3.5222323374736,-3.1503659148313,-2.171600835131,-6.5424588538359,-3.7387721587522
34785,Wasf1,NM_031877,0,1.3243994752345,1.611610172514,4.8376896073096,7.8647695202853,2.3611468577044,1.7481834320198
34835,Cyp3a41a,NM_017396,0,-1.6376986838446,-1.2575498217606,-14.022324074076,-1.4797419976041,-1.2015396311811,-1.8131344095791
34984,A_51_P281078,A_51_P281078,0,-8.394522548428,-9.8863959509074,-4.9429247624359,-4.6127933611832,-11.651182367286,-1.1482667783491
35054,Hamp,NM_032541,0,1.0096978232733,-1.0865639702107,-1.1708093984711,1.3274922673712,1.1009631928994,-7.3390525939316
35095,Pitpnc1,,0,-9.3826604524754,-2.6870144379245,-4.2200344858237,-2.1176296055707,-4.3952441038105,-1.3673824451435
35985,Hamp2,NM_183257,0,-2.3461836285597,-2.1354529148609,-9.8557119044199,-5.0275453875562,-1.7330057353271,-6.2084473144141
36128,Nppa,NM_008725,0,-1.7894105766721,-2.607888384456,-2.804329238196,-1.4519812226306,-6.4556800771164,-1.1943873636412
36402,Fkbp5,NM_010220,0,-7.2072402615303,-4.1560714000776,-3.9833548823294,-2.0330731273395,-3.1639382582837,-1.755484503122
36488,Cyp3a44,NM_177380,0,1.2271942168558,1.1138722898493,-10.799409266631,-1.5567755422979,1.212824328355,-1.2910290065292
36627,Lars2,NM_153168,0,-3.2216844432651,-6.4130850567006,-4.0215178434057,-2.4491703885423,-1.73670878046,1.3367278609693
37061,Cntnap5a,NM_001077425,0,-1.1328463246681,-2.5303115622271,-2.2982168263348,-2.733675748534,-6.9437647689034,-1.817058878242
37295,Tff3,NM_011575,0,7.7555392480941,2.6811616571966,7.5275214200561,1.1641627528293,3.1924933404728,1.170786483645
37722,A_52_P481302,A_52_P481302,0,-2.9602950570572,-1.339460774457,-13.9476165764,-5.1897806206991,-1.84598428702,-1.3172979015642
38098,Arl15,NM_172595,0,-2.4582950122934,-6.785455395714,-2.0544094306617,-1.7992188812607,-1.1550734460877,-1.4825112579136
38709,Cyp1a2,NM_009993,0,2.8131053715354,3.2452263976317,13.804160494911,13.228786274193,2.0834064291029,15.73874141337
38809,Osgin1,NM_027950,0,7.963536959468,3.5290759093279,1.2374965589941,1.2785096194877,3.0877490729582,2.0344124269104
40638,Cyp3a44,NM_177380,0,-47.22696098574,-60.104916755944,-140.85426443217,-36.510686588989,-40.345026029733,-4.7389267955679
40705,Pygl,,0,-7.4196257537728,-1.2157369039554,-3.7186902062572,-1.5399158886606,-1.4269869452436,-1.1130085485998
40971,Rhox6,NM_008955,0,-2.0183291843416,3.0035509265287,1.7228322785563,1.2807164859778,-6.9189469384066,1.3061468277965
41559,A_52_P462257,A_52_P462257,0,1.7244714155679,-1.097606575183,10.716180003578,2.1368547374581,1.0426088331034,1.5957064481476
41666,Gm1381,NM_001033478,0,-7.0878578662222,-3.8919298165201,-1.4344089951016,-2.0497457754534,-3.2312160694791,2.3266979114469
44386,Insl6,NM_013754,0,-2.4977329323042,-1.4269343740701,10.095317914852,7.4665503832143,1.2405517908054,3.7105817138894
44840,Slc46a3,NM_027872,0,1.07977433357,1.3908778789672,7.7543964338019,7.9666181245902,1.3795327021787,9.4169876313445
45034,Clcnka,NM_024412,0,-1.2332570306448,1.0469506237979,8.1543246851808,7.6518597271331,1.377000189425,1.7545186944622
45099,Txndc3,NM_181591,0,1,-3.91769840695,-2.6191960071175,-1.5676171280248,-6.6378433645693,-1.859820369631
45116,Chad,NM_007689,0,-1.4937605995299,-1.2406474864442,8.4056441431512,7.7786816869881,1.2735177428471,5.9444133383584
