,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,TE B3 TCDD 10ug/kg 48hrs
192,A_52_P197046,A_52_P197046,0,-1.301568411745,-2.5488424997307,-5.1812911847128,-1.3649288079304,-3.3931651666621,-1.4849950294753
220,Cyp2b9,NM_010000,0,-15.220537870232,-14.408872552165,-33.676736589975,-4.875329804274,-12.269023547838,-1.7150784893012
237,Ctgf,NM_010217,0,-3.1656871983857,1.031344602348,-1.9176838023002,1.46456617623,-1.7236933256934,1.6379211844519
273,7030407O06Rik,,0,-4.4028815311079,-3.0724512447283,-2.5958105907776,-1.8028641381372,-3.3809753155511,-1.3023778457767
274,Esr1,NM_007956,0,-2.1582910012836,-3.5077206543463,-1.1847668662547,1.2246119695978,-1.6902268640736,1.2593342065381
279,Cd207,NM_144943,0,-6.1580044726242,-4.4505019944757,-3.8176578234384,-2.9608335962073,-2.8129434408338,-1.8731907304764
282,Syn1,NM_013680,0,-1.9979241662317,-2.8190124895208,-3.2475212384878,-2.7472298710959,-1.6286921381495,1.0448320836193
319,A_51_P359432,A_51_P359432,0,-4.4867100033961,-3.646842437954,-3.0357779346339,-2.1495819169483,-2.4931361732826,-1.5904462629197
329,Agpat9,NM_172715,0,-3.4009872202089,-4.2610143814455,-3.6869478943556,-1.2051300062982,-2.2584215020343,-1.2186171898432
350,Fgf8,NM_010205,0,-1.3446213415345,-1.7600175564863,-1.6907951757074,-1.4836552578663,-4.7979531174196,-2.3011238834338
488,4930402E16Rik,,0,1.0464317302472,1.1804994796962,-1.0144157417695,3.1123039218912,1.7163189595315,1.2350052392426
536,Cdh10,,0,-1.7665055246282,-3.1560436417497,-2.1864371606037,-1.7557432199412,-4.0787210099375,-2.8724666822071
615,A_51_P269793,A_51_P269793,0,-3.2700545689609,-2.3451034198163,-1.3628968883774,-1.4540455111121,-1.2752284701081,1.2195378955663
620,Zap70,NM_009539,0,-2.8453847529151,-3.0705770527731,1.1869868290582,-1.0949424668227,-1.7441305933309,-1.0006315658837
721,Gast,NM_010257,0,-2.1066287166327,-1.0227049076482,-4.6221176959173,-1.9316880804922,-1.6255786997409,-1.0519943322291
736,Cln8,NM_012000,0,2.2580367194484,3.2794876518047,1.3038300913883,-1.2070848523048,1.8864139527651,1.0428501309252
746,A_51_P330870,A_51_P330870,0,-2.9821054744308,-2.9161173713699,-3.4331280326565,-1.8190892190791,1.2307561086573,1.2146151673034
755,Entpd7,,0,-2.449672348641,-2.2389582740391,-2.5731256852578,-1.2501646082313,-3.1829806612667,-3.3021135249315
806,Cxcl10,NM_021274,0,-1.5860833276575,-3.0004610954938,-1.5993959796109,-1.3924256023426,-1.9487898096306,-1.1751911168315
812,Col2a1,NM_031163,0,4.0451068702326,2.1658830372266,1.4707708033812,1.4947342983235,1.105894759306,-1.2177627911084
880,H3f3a,NM_008210,0,-2.8126519890601,-3.1044452140332,-1.8734409116829,-2.2378037640049,-1.7750067135007,-1.3099810100068
890,Pnrc1,NM_001033225,0,3.0104470991233,2.067478490676,1.585104868979,1.856260827961,1.7051084239473,1.3163852275341
898,Cyp1a2,NM_009993,0,2.4435655853874,2.6550701492197,6.0158777184483,5.2564434919106,1.9504103818998,10.403033571587
913,Mt1,NM_013602,0,-1.7348902247694,-2.2906883125859,-3.7480208657512,-2.8522461330086,-2.4442183486121,-2.0224742457497
1039,Piga,NM_011081,0,-3.2061142913868,-2.7797708730932,-1.0774370360563,-1.2791073662475,-2.2584839053886,-1.3371434460603
1111,A_51_P449638,A_51_P449638,0,-3.837920726514,-2.9391313827605,-2.3478373110355,-1.7764582285864,-4.1379191422163,-2.4921489755744
1168,Gm11435,NM_001045543,0,-1.9731858844711,-3.1883280501395,-2.8062412228762,-1.9994106450362,-3.4837902550112,-2.511360157913
1171,Ppme1,NM_028292,0,-1.7874668655994,-1.7042605848411,-3.5293359508306,-2.6001236408815,1.0202505557174,1.2184207877875
1173,Foxp1,NM_053202,0,2.3262265062548,2.0495381185539,1.6271103214478,3.1870655799312,2.4937103051981,1.2198010419648
1180,Trim50,NM_178240,0,-3.0918470375723,-3.5723828847591,-2.8780411556169,-2.2614708805605,-3.3218957576233,-2.3335171658727
1196,Dysfip1,NM_026814,0,-2.8385464145851,-3.9431745306029,-2.7453833785944,-1.9763688488305,-1.510869659466,1.2809435759277
1263,Exoc3,,0,-3.142483456246,-1.7210956224904,3.1995138906992,4.2261508998011,-1.2691062999812,1.8616884312442
1280,4933404O12Rik,NR_015555,0,-3.624015112005,-2.252350633462,-2.9922646366082,-1.7144664858247,-3.3310411670351,-2.2541198320287
1303,2010003K11Rik,NM_027237,0,2.8988917613773,1.9076908646308,1.9857153819642,3.7335760328879,2.1989330156783,2.2508056673378
1329,Sfxn4,NM_053198,0,-3.9198820571024,-4.9857442837588,-3.7276317313878,-2.1007336881332,-1.0546644322287,1.245411294578
1344,Sgsm1,NM_172718,0,-3.1441481391897,-3.0786193874841,-1.4670941994592,-1.0570886261078,-1.6854272060754,-1.0266003311147
1397,Bcl6,NM_009744,0,1.3675745180128,-4.6010187171736,1.4955571036512,-1.8925832843419,2.3803400290807,-1.1155367958281
1405,Rab23,NM_008999,0,-3.095508493686,-1.9603201318461,1.2061721595081,1.9213699760839,-1.3175678831824,1.7171569817899
1542,Pde4b,,0,-3.1884381729908,-2.1943909322947,-2.8592030602893,-1.5563777016361,-1.9934759474867,1.0986564254187
1597,Arid5b,NM_023598,0,-3.3451145937081,-4.8217645536851,-4.3621339748843,-3.1895175782395,-1.7383451090285,-1.1097634059255
1651,Col2a1,NM_031163,0,3.9743947456347,2.1890264037362,1.3687306735563,1.3830535635617,1.0924968664984,-1.3554265864621
1710,Ptprc,NM_011210,0,-3.2617074080485,-3.7890470665432,-1.9803319760517,-2.5956193314313,-1.93770651741,-1.1101086839908
1713,Hspb7,NM_013868,0,-2.5603539060042,-2.6634589027758,-2.3640790806084,-1.9396170809043,-3.0155393501018,-2.116864208416
1717,0610012H03Rik,NM_028747,0,1.4089221602883,1.5546191031135,4.6939342289078,3.0731092511591,1.4452134675945,1.9820837454171
1802,Dusp16,,0,-3.2739572177913,-1.6320182089217,-1.2232240183975,1.3609118635767,-1.7690414138194,1.0960167718206
1831,Alg2,NM_019998,0,2.5163033743847,2.1505621602486,1.7370887193896,3.2458317192831,1.6144217504284,1.1265217988728
1846,Lrsam1,NM_199302,0,1.0680960279278,-1.240051437131,-1.6294348474849,-1.6862540276427,-2.7356403446995,-3.8208764959197
1848,A_52_P949155,A_52_P949155,0,2.7680249475809,4.0116589084262,3.8240714662271,2.6491771471804,3.6859208065796,1.0295835616547
1855,Tmem185b,NM_146103,0,2.1863616450436,2.6873485609834,2.4215252392368,5.3796745093139,3.0623864887951,1.019623743202
1875,Xlr4b,NM_021365,0,-1.7978522585329,-2.1695816549749,-1.073798270162,2.9440148750156,-3.7781569920231,1.3822894710633
1902,1110015O18Rik,,0,2.021007848113,-2.3561991772236,-2.8208045793625,-2.1980268841895,-3.179127896804,-2.1027565768278
1919,Col6a1,NM_009933,0,2.561285553837,3.2422388097074,1.0847920655691,2.2241803522427,3.1180135630867,1.2297074382414
2028,Ap1ar,NM_145964,0,1.920100673707,3.2336052404593,2.8193565343687,4.2191114728725,2.6253305964585,1.1006113825941
2067,Mt1,NM_013602,0,-1.7103303405662,-2.3810197621129,-3.6524308301361,-3.0917473698062,-2.4772851540137,-2.0777916660665
2110,Esr1,NM_007956,0,-2.1089777602064,-3.4755056591023,-1.1687884197578,1.2556150136253,-1.7629784350785,1.2946429180607
2155,Prkrir,NM_028410,0,1.373725626578,1.1956822991286,2.3884601514221,4.4491495089637,2.5257130024121,1.2888548198971
2161,A_52_P567281,A_52_P567281,0,-1.9012271171626,-4.0544878190513,-4.2151302585155,-2.3685360541563,-2.1696565909647,-1.3165186022064
2217,Arfrp1,NM_029702,0,-1.1602826548696,-2.052607918583,-2.0231216610976,-2.2888166284737,-3.8496478158992,-3.8310339442907
2263,Cnih2,NM_009920,0,-1.2051602532446,1.269050778916,8.1120944769592,9.1511568672219,1.5797886888863,3.2553673247164
2290,Hivep3,,0,-1.4075861988551,-5.1774033454712,-1.6598582447618,-1.3758275447766,-1.1852255362752,1.0825770099575
2306,A_52_P1156957,A_52_P1156957,0,-54.554427173204,-14.803008891487,-16.065712837114,-7.142364335568,-12.425961394648,-1.8699930825331
2553,A_51_P410639,A_51_P410639,0,-2.3148827570758,-3.2603032732628,-3.291106982995,-1.895474734825,-3.1025515057911,-1.7147744344657
2605,BC048507,NM_001001185,0,-2.5650332549929,-4.8402857353917,-2.6401159447597,-1.5517473057277,-1.4802361287089,1.2496154900006
2674,2610110G12Rik,NM_001142744,0,-1.3816212364191,-1.5224954380407,-3.0384493416706,-1.8752362943822,-1.368718067139,1.205618490204
2704,Ceacam2,NM_007543,0,2.0908457771065,1.9859668732137,1.970647741823,3.5176935301621,2.222552354425,1.8010841320047
2709,P4ha2,NM_011031,0,-3.5750984024661,-2.4095003848302,-1.837938604993,-1.3060175110873,-2.2918437204207,1.1064864501564
2733,BC023105,,0,-3.4509685387376,-3.3105945822547,-2.2342872128686,1.0366186069235,-1.738112968653,-1.17589217404
2770,Wfdc2,NM_026323,0,-3.966349682898,-1.9812396006737,-1.9846000593173,-1.1505945166721,-1.9881035463519,1.8141032442648
2778,Ssfa2,NM_080558,0,2.6852455157354,3.4921187216083,1.2104203037801,1.2903276389333,1.7158803468657,1.2270744122139
2837,Plin4,NM_020568,0,-6.4116971395476,-3.3414733365541,-6.6652892345811,-2.2544260806912,-2.6105679387821,-1.0832632254607
2981,Chmp4b,NM_029362,0,-2.0415169966837,-5.5329659810334,-2.4099553703149,-2.5904725819928,-1.3363770230382,-2.2856409060491
2984,Actb,NM_007393,0,-2.1776345582212,-3.1116088640873,-1.149167936434,-1.1882469275143,-1.713527189439,2.0894837597814
2991,BC023105,XM_001471580,0,-3.7972833060405,-3.865832207562,-2.8693267026545,-1.1496827097754,-1.8771241624644,-1.5541824480298
3126,Ppm1l,,0,-2.2204397837026,-1.9561448023103,-3.4398380803949,-1.9862915726524,-1.851552368692,-1.4389476690069
3134,4921534H16Rik,,0,-2.746350735245,-5.1194935479809,-2.618623132217,-1.7116186107387,-1.5410190234651,1.2934540351084
3146,Ccr3,NM_009914,0,-1.4366864640068,-2.0480615298705,-1.8526995669415,-1.7736707335162,-4.876688322785,-2.0395248442673
3152,Cox17,,0,-1.658853372302,-3.0162476739457,-3.4527648356887,-2.1580375640817,-1.898982663834,-1.2006634769325
3199,Olfr123,NM_146630,0,-3.4765061340155,-4.1854484758509,-1.9349466712482,1.0438473667887,-1.1248458231281,1.3446492067687
3234,Rassf3,NM_138956,0,4.2137813826295,3.8721841238711,1.60941854016,2.0839197949437,2.7701736887284,2.5111809030763
3261,A_52_P972871,A_52_P972871,0,-1.6125827136649,-1.7643835498486,1.6428352013734,1.3972657059571,1.0101603780656,3.3029728206213
3266,Lamp2,NM_010685,0,-2.177088080215,-3.0298770113825,-2.4284938053303,-1.4178621202153,-1.62795726435,-1.5227618926771
3268,Ik,NM_011879,0,-3.2546553053687,-2.3999489289577,-1.6726343060379,-1.8945889500107,-1.8111190555784,-1.0999334258198
3272,Fasn,NM_007988,0,-3.0668674063432,-1.9753770326551,-5.1148158227201,-2.6257175079806,-2.917299381938,-2.087877432016
3316,Lilrb3,NM_011095,0,-3.0013939307655,-2.9319327187258,-1.4985353766406,-3.5175720354299,-2.5212156832755,-1.3951278232399
3326,Vapb,NM_019806,0,-2.2043015193738,-6.5363003457956,-2.4591895234839,-2.9663473213402,-1.4764270723779,-4.9152657106352
3328,Trim9,,0,-2.0465200319201,-2.5638227682045,-2.7606350650019,-1.8780407006296,-2.9778032529213,-3.0655118551583
3333,Max,NM_008558,0,-2.0005112591941,-3.1603632281734,-1.6760809885782,-1.8620957119108,-1.5559333872498,-1.1798133335519
3336,Hectd2,,0,-1.7335604887503,-2.2264605274472,-1.2454683624285,-1.5771391044259,-3.1184443623376,-2.1481123896891
3342,Ahrr,NM_009644,0,-2.3311488218003,-1.4790538968052,13.3168037627,5.0450096350834,-1.6034447499665,1.3646805441978
3381,Plk3,NM_013807,0,-1.2536063981033,-1.2922870729574,-4.0873610306005,1.0933716276106,-2.4093284004987,1.1965575736593
3413,Nln,NM_029447,0,1.7274759109375,3.3161563617674,1.3611845154224,1.9920902046559,2.5762914961799,1.0610857935999
3450,Etv2,NM_007959,0,-3.1695090779909,-3.0421526330788,-2.4749076609402,-2.0304486001269,-4.1904918466992,-2.3776832591342
3487,Krt27,NM_010666,0,-2.5209196296629,-2.678391141921,-3.6428895171164,-1.8040060928727,-3.799723545241,-2.7007787009578
3506,A_52_P804224,A_52_P804224,0,-5.9901955476704,-4.0602427542432,-1.8368766773741,-2.0507985419526,-3.9433379648978,-2.0577471080257
3514,Cyp26b1,NM_175475,0,-8.744661441788,-5.7671599955332,-14.005867065717,-4.6150881432342,-1.8738723370622,1.1356847654092
3558,4631416L12Rik,,0,-2.2467616381533,1.1641595361332,1.5640765328838,3.3695429772082,2.112297086431,1.0916637769518
3559,Myc,NM_010849,0,2.2499662311148,-1.3686329768589,1.3584010231145,3.8733612191602,-1.264389847541,2.4202988809384
3564,Nrip2,NM_021717,0,-1.5451085651509,-1.8833888717266,1.0984750573222,-1.2008418087984,-3.3355772261223,-2.0848556935568
3572,Cldn1,NM_016674,0,3.8614463034629,3.2566793470879,2.3889111638837,3.6070569564063,3.6503877637998,1.9132512247008
3611,Creld2,NM_029720,0,-3.101251590418,-3.1838162864912,-3.1220007280227,-2.9828196813101,-3.4274489900274,-2.2183496526729
3676,Mbl2,NM_010776,0,-3.4118112743975,-2.8767160738193,-2.8306162790811,-2.6458425717666,-2.5064035673329,-2.950570527215
3714,Ldlr,NM_010700,0,-3.1005090261811,-2.0373563629504,-1.7092634263877,-1.2461221048523,-2.1573718120679,-1.0612692968144
3741,Bcl9,,0,-1.0737302782377,1.7780910665893,-1.0169122757696,-1.0532568686702,-5.8884907883106,-1.3967092198907
3749,AW146020,,0,-3.550111554297,-1.8417428817401,-1.6849654494331,-1.1966945137237,1.0941609223173,1.058283439153
3768,Jun,NM_010591,0,-1.1411538504998,-1.6078591445705,-1.5707606030477,3.0991814219244,1.7286218570203,1.3004240717797
3771,Cyp1b1,NM_009994,0,1.4593282845415,2.4008996041001,17.996580774417,16.37834443332,1.1558218493612,2.6401645779406
3788,Map3k6,,0,-1.6293973287929,-1.7697299470351,-1.8156368978206,-1.6318491139463,-2.4977846940241,-3.1763254913035
3811,Xlr3c,NM_011727,0,-1.4595399942327,-1.4480114632928,1.530777252705,3.3991239379401,-1.636624318338,1.8087643930795
3855,A_52_P496163,A_52_P496163,0,-2.1068955215801,-2.440147056112,-3.4275594797096,-2.7014255307712,-1.3382831194969,-1.4130287556844
3943,Pax8,NM_011040,0,-3.9225365589222,-2.8521870257662,-3.3587756806611,-2.1554105289084,-3.5825561013914,-1.9283372914301
3970,Afp,NM_007423,0,1.0095645911766,1.1777483378684,3.5518040654463,3.398372650856,2.3498925262162,2.1533964859105
4016,1700011H22Rik,NM_027034,0,-2.3705820958054,-2.7475778083073,-3.7677579944568,-1.9642601229986,-3.4291619804195,-2.6969754923548
4065,Trp53,NM_011640,0,3.5234085185641,2.1993127907484,2.0202355076657,1.2482549587923,1.0594025159585,-1.9720231095392
4105,A_52_P989584,A_52_P989584,0,-3.277306052234,-2.8878923480108,-2.0119398838912,1.1242647653138,1.4247314133574,-1.3215512201361
4277,A930004D18Rik,NR_028376,0,-2.0142482732054,-1.4228299554559,3.8597750991746,6.7349131553455,1.4156536075135,6.7748705281964
4291,Slc22a7,NM_144856,0,2.1453344165983,1.8432404819975,3.7489444041719,3.7580278997834,1.8369908791751,3.2421118981685
4319,A_52_P645675,A_52_P645675,0,-4.0470540070961,-4.1131353407843,-2.5726280467542,-1.1683718908502,-1.1993021161851,1.1956938624575
4328,Tmpo,NM_011605,0,2.4734720087575,3.4277567915727,2.5980051043233,1.6819419398478,2.5619461677448,1.168830942041
4334,Ppp1r3c,NM_016854,0,3.0131309054237,3.7146251943696,2.4437512675257,1.8868353317998,3.4051872609771,1.3917396491742
4394,Lat,NM_010689,0,-1.1672820307378,-2.2932109138396,-1.9101347256821,-1.9480316111739,-3.3447911080884,-2.4184827828597
4407,Olfr1020,NM_146580,0,-1.7524111185911,-2.9549014422126,-3.4680472033781,-2.1689323181357,-3.3714288590024,-1.9313144950233
4426,Tdg,NM_011561,0,1.8705787655067,2.6636428943536,2.3815022710498,3.1523613925818,2.2992013193432,1.3251346189296
4432,Zmynd10,NM_053253,0,-1.7452674942876,-1.8699715535661,-1.4825351533644,-1.9855782183426,-3.4383810134195,-2.4573555598952
4436,Dirc2,NM_153550,0,-2.4355441130198,-7.5396294129686,1.0636535649069,-1.3706671360777,-1.3466756268384,-2.1256560834129
4442,Cldn18,NM_019815,0,-3.385906803057,-3.3258755925431,-3.7808286913019,-2.3101330850758,-3.8746814181807,-3.7630327669931
4456,Grin2d,NM_008172,0,-1.3864429380923,-2.8778224750814,-3.1727583810444,-2.7333232780815,-1.5362185324623,1.4533827456283
4539,1810033B17Rik,NM_026985,0,-3.3210621269467,-2.3646942753765,-1.4296015158714,-1.0284301496134,-1.5696289493792,1.1428078107661
4607,Srgn,NM_011157,0,-3.2879181681618,-4.2525849708088,-1.6474528729032,-2.9308055143591,-2.0779399844155,1.100191537242
4662,Zfp655,NM_028298,0,1.4786078242684,1.9854867811919,2.1580673786784,3.566251768243,1.3062009641743,1.4803758784608
4666,Cmpk2,NM_020557,0,3.0232426102878,1.648397700439,1.4419360506334,2.279832812753,1.7755708234726,1.008992690348
4696,9930021J03Rik,NM_172836,0,2.9118500058565,3.1025443619105,1.2839260189833,1.2290226876553,2.8574721086124,-1.2154502855692
4750,Ndc80,NM_023294,0,-1.3849465093111,-2.7832742393585,-2.0319265264382,-2.1062552464669,-4.1320731383801,-2.8934767698529
4770,Rad21,NM_009009,0,2.8310660385133,3.580411966801,1.8762685543735,2.1918104842823,3.5903434921378,1.6114172188487
4777,Wdr37,NM_001039388,0,1.3531688756896,1.5896737395107,2.1088854963103,3.3781583257683,2.0980797880867,-1.016163356687
4987,Otud4,NM_001081164,0,3.0327946129742,4.0253347270509,3.274492499666,2.0949371583334,2.5796869102883,1.1239306118383
5020,Cyp17a1,NM_007809,0,-3.8815304724765,-3.8261853102387,-4.038220228961,-2.8194668972702,-2.6702627658798,-1.5183888292467
5024,Man1a,NM_008548,0,2.2965399251925,2.5188308280127,1.9648391364589,3.1658767249268,1.9518660042288,1.6286921381495
5050,Sf3b3,,0,-3.435334255614,-2.4076147759412,-1.8984186861749,-1.0346326991684,-2.1046069489027,1.0705429603523
5148,Acvr2a,NM_007396,0,3.6075968579208,2.5203450365923,2.3886306461219,1.176776264184,2.0481888613992,1.0408791279308
5151,Pik3r3,NM_181585,0,-1.2734737578622,1.0034099193681,1.9727679333285,4.3827025854596,1.075926241629,1.3044216549548
5167,BC015286,NM_198171,0,1.2079470568623,-1.405516667141,1.0316018207859,1.5807893450845,1.0733708579419,3.3221940799764
5280,Rarb,NM_011243,0,-2.6815320989571,-2.2916748573559,-3.1415574057687,-1.5972687686645,-1.5180497338268,1.0304482831718
5416,Cacnb2,NM_023116,0,-1.6571125255108,-2.3507800694947,-2.2065663960869,-2.0308133047696,-3.5598770606956,-2.107346741369
5484,Gm98,NM_001033481,0,-3.1206279934885,-2.8813698002329,-2.0903162656328,-1.5540929846713,-1.8627261007645,-1.5140143797159
5555,Bspry,NM_138653,0,-1.1076529283505,-2.3693706257946,-2.0983068577139,-2.0347918993228,-3.012034902335,-2.585877813612
5556,Actb,NM_007393,0,-2.0633694683327,-3.033437141653,-1.1152409302309,-1.1253095382117,-1.5962025489837,2.1877616239496
5567,H2-Q1,NM_010390,0,-2.2698700784468,-2.0810187824547,-5.3366411418304,-2.6260621490623,-2.068226031377,-1.3392757338948
5718,Rpia,,0,-3.8556002521385,-4.3529331745749,-4.7158827631933,-2.4944913367862,-2.0709423053703,-1.2902830733652
5868,Cnnm2,NM_033569,0,1.771605418845,2.0407932069616,1.2881309049885,4.6310876423234,2.3237478448736,1.3831682138602
5881,Zcchc7,NM_177027,0,-4.1858339876548,-3.8346170592167,-1.5980670609402,-1.7527420260387,-2.5771577328139,-1.6726535630629
5893,0610039H22Rik,,0,-1.1079705067763,-2.3773164746195,-2.2701209676235,-1.627095335277,-3.1675173324989,-2.3886416461979
5926,4930471M23Rik,,0,3.2264430219797,2.4039752937412,2.2371082530755,1.3495842460198,1.8264677152451,-1.2033681148893
5938,Fabp9,NM_011598,0,-2.6709391873359,-3.5106133498973,-3.962077807637,-2.3084209123669,-4.3911270208921,-1.8830289630789
5956,Gdnf,NM_010275,0,-1.3469144123182,-3.0728686733277,-3.3892608888109,-1.9894819350165,-3.6836723988514,-3.4455773193245
5966,Slc13a4,NM_172892,0,-3.02924918697,-2.3904683611474,-1.2504660350719,-1.0821059873023,-2.3459945561178,-3.4614016789818
6021,Mat1a,NM_133653,0,-1.4093244939551,1.0018379825166,-3.1845788026107,-3.4331201275962,-1.3169339689843,-2.9029462857473
6075,Cml5,NM_023493,0,-1.1811528440176,-1.3503458062892,5.3015028596091,4.8124917720394,1.0050057580558,3.6521869473282
6105,A_52_P145628,A_52_P145628,0,1.0674526015401,1.5737219415729,9.9384120778687,4.0666893651134,1.2711183842813,1.4464119459688
6218,Vps13a,,0,-1.8400473547971,-3.994569668455,-3.9864195131592,-3.3089332014558,-1.7164177616365,1.0838208462681
6257,5730455P16Rik,NM_027472,0,1.4484082838398,1.7354735537409,2.3057594646525,3.5321244744026,1.6296862450064,1.5868833374595
6355,Cxcr2,NM_009909,0,-1.9074229335944,-3.8927543618132,-3.98389606789,-2.5532127235258,-3.7431480087458,-3.3734944499998
6432,Gpr35,NM_022320,0,-1.0455266325123,-2.8312746468532,-2.2893542515004,-1.9768877032751,-4.008482574578,-3.450674543759
6437,Pou4f1,NM_011143,0,-2.3443637638621,-3.041004060247,-2.7804366213363,-2.534066455487,-1.7535090029549,-1.2390733035834
6493,Rnf170,NM_029965,0,-3.7742094700025,-2.7217485485976,-2.3417309719597,-2.4796420925472,-3.5439941799124,-2.2168075913648
6538,Nek1,NM_175089,0,2.2562956182818,3.2445091255575,2.635681935457,1.2392747468198,3.7940670358885,1.3299735378358
6541,Tctex1d4,NM_175030,0,-1.8883609024221,-2.689973489993,-3.2711239439809,-2.0595720998887,-3.3662704131468,-2.3849210126183
6545,Clec2h,NM_053165,0,1.2880300638813,2.1414503024876,2.3202458256167,2.1933099054807,2.2787883997531,3.3919777906281
6556,Dntt,NM_009345,0,-3.8639989524144,-4.0003316658753,-2.2879050663014,-1.7227251737518,-2.2374276460644,-1.1225063332538
6580,Ptprc,NM_011210,0,-3.0815768296486,-3.3363299951905,-1.9238889489313,-2.5818915727703,-1.970284768526,-1.1011913720709
6635,Cfp,NM_008823,0,-1.1725255094632,-1.3663280995034,-1.5098819731508,-3.1310499786794,-1.5861563711759,-3.026781006209
6653,Sidt2,,0,-2.5112907674261,-3.573123275875,-2.4337165755123,-2.2647590302957,-1.420780539753,1.1962187350414
6659,Rcan2,NM_207649,0,-2.6447035610806,-2.6983793211059,-3.3511587378142,-2.5066113394139,-1.9232688603611,-1.0907220678144
6774,Cish,NM_009895,0,-2.6502631618561,-1.4274831810959,-4.8198774941029,2.0572496636914,-3.3666967519664,-1.3972946621658
6835,Slc6a14,NM_020049,0,2.1751789912018,1.7121586331176,1.8518678839811,3.7916653517504,1.9486327620562,1.090797414828
6879,Odz2,NM_011856,0,-1.8923566905367,-2.6998460461144,-4.7669544269098,-1.894484254049,-3.9008926591821,-2.4415521220427
6892,Sparcl1,NM_010097,0,-2.5232018824908,-2.1681683475782,-3.8486374363638,-1.9279909899945,-1.5063746550195,1.6553430127866
6934,Mt1,NM_013602,0,-1.6340223783125,-2.3344307753854,-3.5670483822233,-2.9881128833446,-2.4673456841668,-2.2561709342233
6943,A_52_P92428,A_52_P92428,0,2.4188614883504,2.5977179780552,3.3240381535185,2.62798571385,1.787187013479,2.040201206241
7042,Ptprc,NM_011210,0,-3.220275293044,-3.1868160810481,-1.9086706705449,-2.4234105823545,-1.8605785079676,-1.0863040532695
7077,Myc,NM_010849,0,3.1671964357143,-1.0675794367379,1.9581682293488,3.7858900760666,1.0235658788425,1.2086762820589
7081,Hist1h2bk,NM_175665,0,-1.8208115516984,-3.1326581120218,-1.6738132444665,-1.5511042935514,-1.6409033437596,-1.3973171840763
7094,Derl3,NM_024440,0,-1.3958250883382,-2.4386697994955,-4.7020581964542,-2.4161339065012,-2.1179026804284,-2.4434024218221
7105,Ffar2,NM_146187,0,-1.8322258242559,-4.7838108556532,-3.6221047015945,-2.9747673076819,-5.068564762842,-3.673135926848
7157,Slc4a7,NM_001033270,0,-2.7725986024955,-3.1739932585967,-1.957226106625,1.14773863225,-1.6288609059937,1.1405914191627
7171,Bcl2a1b,NM_007534,0,-2.2752074441459,-3.2612117620268,-1.4998402353908,-2.0779974008123,-1.3609087299649,-1.0030158593656
7197,Gm11938,NM_001127354,0,-2.4348095695773,-4.019277574968,-4.2884761586097,-3.6029646406922,-1.7566611636523,1.0416461187908
