,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,TE B3 TCDD 10ug/kg 48hrs
34,Irf9,NM_008394,0,1.9209585771726,-1.2539459006308,-1.1420483745035,-1.7807050896012,-3.5654307029593,-1.3668535970134
38,Ldlr,NM_010700,0,-3.5111954091342,-2.1786777593007,-1.7539814662252,-1.3013106976684,-2.5880758484317,-1.1928759975041
50,Zswim4,NM_172503,0,1.7055914096796,-1.0054772067846,-2.0102589299011,-1.694669448243,-3.385860025349,-1.548117785335
51,A_52_P931594,A_52_P931594,0,-1.6764438038365,-1.5784433508349,-3.167896616071,-1.5448986725154,-4.3257856937301,-1.6353811966625
67,Hif1an,NM_176958,0,1.8667965947021,2.3530870838941,1.3972560540209,3.3371444060482,1.1674201900963,1.0879338760161
68,Mtap1a,NM_032393,0,-1.8505933618367,-4.2062685805313,-3.6763681926372,-2.2954825729561,-5.2973418513401,-2.6188582972768
73,Vps29,,0,-1.2224958682939,-1.2111755635479,-1.0477177461152,-1.1448104893442,-3.1636177240902,-1.9291677802658
97,Clca4,NM_139148,0,2.1388483842934,1.3189793613414,-1.1228201556086,-1.2903692348524,-3.6734235001776,-1.0253706922011
100,Mtus2,NM_029920,0,1.2412118122916,-1.5005587374677,2.4821555838323,-1.336315482019,-3.2731883744428,-1.1095492903759
124,Fdps,,0,-5.1565472311067,-1.4021904341632,-1.4970834178128,-1.1490882928795,-4.2937524281444,-2.6506781613832
134,Ep300,NM_177821,0,3.266058805816,2.6811925253886,1.3995518736636,1.0487602055413,-2.6623981326149,-2.0374642630945
140,A_52_P377736,A_52_P377736,0,-1.2238736936095,-2.1112613630116,-2.3157357485175,-1.3148281693805,-3.8341667795198,-1.2678065757412
182,A_52_P672825,A_52_P672825,0,-1.6494911888494,-1.9862366901462,1.0261921780337,-1.4084680506432,-5.0238076162905,-1.6094963643274
183,Srp9,,0,-3.1155878390039,-1.3272844304972,-1.177576960422,1.1087547668539,-1.8902924511901,1.1885742029199
189,Krt13,NM_010662,0,-2.8059117001553,-2.9378119969664,-2.4105047965387,-1.9405596640031,-3.638496822599,-1.8480256721559
