,,,TE A1 Corn Oil 10 ml/kg 48hrs,,TE A3 Corn Oil 10ml/kg 48hrs,,TE A2 Corn Oil 10 ml/kg 48hrs    ,,TE E1 Aroclor 1260 200mg/kg,,TE E3 Aroclor 1260 200mg/kg,,TE E2 Aroclor 1260 200mg/kg 48hrs,,TE C2 Wy-14643 50mg/kg 48hrs,,TE C1 Wy-14643 50mg/kg 48hrs,,TE C3 Wy-14643 50mg/kg 48hrs,,TE B1 TCDD 10ug/kg 48hrs,,TE B2 TCDD 10ug/kg 48hrs,,TE B3 TCDD 10ug/kg 48hrs,,
36879,Cyp2a12,NM_133657,64503.6,60498.3,45104,38909.7,16872.4,14490.4,25142.8,26219.4,34047.6,34083.4,23177.3,23552,25729.5,29328.4,17833.3,12670.7,25402.5,39158.1,21013,27009.2,23747.4,23824,13356.7,12987.8
22754,Cyp2a4,NM_009997,32157.6,250983,37246,156629,29806.4,155878,49282.2,107405,33270,150178,100649,227065,52630.1,151553,24045.7,112943,66161.7,214854,49523.8,174584,40064.1,121765,62088.4,156139
29648,Cyp2a4,NM_009997,53282.1,103852,80803,75356.8,27351.2,45099.7,44100.2,53576,27176.9,61565,54587.2,71026.8,35483.4,61887.1,17884.6,34417.5,41153.4,87435.3,26263.9,63892.2,26887.3,50777,29669.8,44200.9
17106,Cyp2a5,NM_007812,66689.3,276924,78823.2,163096,60773.5,159724,72868.9,104761,85284.8,179194,166477,152157,97939.7,147139,39718.2,133982,137818,229537,91693.5,186662,81007.8,137870,123356,140835
40976,Cyp2a5,NM_007812,88345,243219,110170,149189,66949,134517,101001,101385,65694.1,142273,192827,209618,95053,133497,34986,96888.6,133990,213560,90982.2,160245,90517.9,134899,86876.8,103574
16669,Cyp2b10,NM_009999,666.502,2139.66,350.775,1256.42,281.462,686.435,3712.84,1054.23,1833.33,1149.56,7656.42,1219.52,324.599,1192.2,1115.36,1052.92,455.077,1241.45,81.3643,1019.6,493.125,802.508,909.571,914.28
20284,Cyp2b10,NM_009998,913.692,4404.58,472.184,2659.78,374.059,1503.17,3229.64,2030.93,1551.38,2465.73,5865.65,2552.83,443.558,2359.19,897.331,1074.37,436.154,2322.84,336.457,2298.78,649.644,1586.92,871.024,1317.25
15275,Cyp2b13,NM_007813,1922.61,18156.6,983.677,11548.2,576.529,8492.48,7229.54,8645.68,3503.15,10468.2,12437.4,12633.7,1064,12222.4,2302.1,5068.73,859.613,13103.2,282.517,11236.5,977.12,8869.56,1623.32,6948.6
19157,Cyp2b13,NM_007813,442.229,11598.5,190.751,6990.02,67.2142,5247.84,181.754,4678.65,314.663,6962.6,117.961,8412.38,227.496,6725.05,1346.42,2942.46,312.59,7143.64,146.519,6377.09,188.438,4173.69,672.889,4708.9
24555,Cyp2b19,NM_007814,121.733,143.568,90.8289,70.4706,138.495,68.0525,136.344,236.54,80.0481,65.7044,146.222,112.516,78.5908,78.9479,2785.1,3504.32,258.012,301.9,102.421,140.411,323.878,268.256,867.885,811.203
42738,Cyp2b19,AK029227,7.95884,7.92849,9.41194,3.43384,10.1977,5.16619,9.61761,3.57478,7.15308,6.25994,6.34909,7.83375,8.5102,5.03103,149.468,163.555,13.8691,9.49753,7.20161,5.04494,14.4486,9.83554,36.7153,42.9398
220,Cyp2b9,NM_010000,211.264,3215.57,135.653,1954.62,115.897,1421.96,680.579,1622.29,465.367,1752.53,2019.66,2326.78,90.228,1517.49,1904.65,2471.93,214.943,1563.74,42.3608,1426.58,216.372,1054.89,1108.12,1900.51
21336,Cyp2b9,NM_010000,3274.49,76651,1666.19,47218,645.561,27496.5,16155.9,33898.7,11385.6,44661.9,29118.8,43672.6,2909.82,44684.5,2475.39,12783.1,2129.78,53272.1,782.563,42689.2,2309.62,35666.6,2136.4,22544.9
22160,Cyp2c29,NM_007815,174212,169419,114618,105820,83533.6,73124,115785,66232.5,124906,108723,189302,116426,61311.2,114538,32906.5,55031.1,74343.4,152720,136778,101443,116012,69453.2,84138.1,70328.8
14449,Cyp2c37,NM_010001,59932,67937.6,44629.8,40253.8,20069.8,21843.1,40802.1,31895.3,42126.8,41303.1,50696.6,31935.6,11589.9,34378.1,11444.4,20131.7,16750.3,44883.6,38875.5,36383.9,31534,27125.8,21656.7,22807.4
30009,Cyp2c37,NM_010001,81171,109775,57928.2,64952.5,20027.3,24900.9,67205.7,50406,64751.8,63159.8,50541.9,37970,24354,50547.4,12586.6,18348.4,25315.8,62104.4,61912.1,48865.9,64771.4,44275.2,18453.2,18849.2
10051,Cyp2c38,NM_010002,165.328,325.396,192.202,190.296,157.444,162.639,173.325,147.931,41.8835,183.543,87.3866,228.064,319.694,228.238,1633.35,1933.18,281.68,299.517,75.5743,208.681,154.411,185.648,676.212,1184.38
44987,Cyp2c38,NM_010002,363.214,712.705,501.48,403.862,266.439,141.186,292.217,288.204,115.426,333.537,124.288,367.78,304.342,411.227,1329.45,1256.94,463.702,436.651,118.35,334.018,298.737,348.045,638.972,541.908
11791,Cyp2c39,NM_010003,84684,75693.8,55316.2,46565.8,23500.7,21680.7,55223.5,33695.9,51296.1,44521.6,50288.9,31928.3,25445.7,34021.9,16818.6,17479.6,25730.8,45559.5,48965.4,32744.9,50868.4,25097.6,26604.8,21796.1
27273,Cyp2c40,NM_010004,36871.2,73104.6,26755.9,45423.8,17073.2,32130.3,21126.1,32701.3,11985,39316,22135.4,52558.2,8140.63,50039.4,10145.2,18460.9,17599.5,64262.2,30825,49398.2,25344.3,35747.4,12003.4,28578.3
29107,Cyp2c40,NM_010004,100173,243125,56123.6,150659,53752.2,96662.4,63664.3,100654,43078.4,146500,62009.7,152259,44600.6,150530,22151.5,82324.3,59947.4,198291,81380.1,153986,91305.8,118542,34959.1,88123.9
