,,,TE A1 Corn Oil 10 ml/kg 48hrs,,TE A3 Corn Oil 10ml/kg 48hrs,,TE E1 Aroclor 1260 200mg/kg,,TE E3 Aroclor 1260 200mg/kg,,TE C2 Wy-14643 50mg/kg 48hrs,,TE C1 Wy-14643 50mg/kg 48hrs,,TE C3 Wy-14643 50mg/kg 48hrs,,TE B1 TCDD 10ug/kg 48hrs,,TE B2 TCDD 10ug/kg 48hrs,,TE D1 PBDE 2mg/kg 48hrs,,TE D3 PBDE 2mg/kg 48hrs,,TE A2 Corn Oil 10 ml/kg 48hrs    ,,TE B3 TCDD 10ug/kg 48hrs,,TE E2 Aroclor 1260 200mg/kg 48hrs,,TE D2 PBDE 2mg/kg 48hrs ,,
,,,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,cy3,cy5,
435,A_52_P764477,A_52_P764477,90.3812,136.988,70.0276,91.9964,113.388,95.7792,36.0364,75.8653,111.177,86.9305,1255.4,1316.02,213.79,213.854,118.979,93.4885,163.934,186.959,69.7707,80.3458,44.2493,54.7722,74.1003,100.644,763.255,817.38,80.6113,133.481,101.56,2061.99
436,Ogg1,NM_010957,778.218,1065.74,414.725,627.319,470.84,393.567,537.868,487.747,703.398,662.101,1289.86,1014.74,1086.73,808.672,488.268,606.669,605.667,475.119,582.152,568.097,379.478,365.006,228.886,216.234,739.047,688.354,426.77,332.113,356.328,2229.42
438,Ihh,NM_010544,335.306,154.404,266.578,80.851,217.476,49.3716,130.68,86.512,197.955,73.9218,800.329,755.156,307.615,107.707,105.728,69.2532,206.6,64.6438,172.862,142.333,87.5443,81.6403,151.193,117.84,462.333,471.413,204.001,229.357,240.043,1761.49
692,Casp12,NM_009808,198.072,186.095,150.275,99.6119,247.218,56.1522,79.9898,114.642,164.131,139.888,604.185,530.835,350.248,131.488,148.541,124.26,196.951,116.653,257.111,187.607,68.0318,112.684,211.529,116.683,496.552,471.226,196.108,224.444,243.787,1587.98
821,Rmrp,NR_001460,605.325,244.435,386.058,171.926,326.435,127.033,1017.5,150.309,498.432,170.214,849.815,627.743,1414.37,246.305,298.846,151.921,440.926,240.424,290.056,142.385,154.845,79.6525,232.107,84.6824,1422.7,771.531,307.281,84.4311,238.936,77.3307
898,Cyp1a2,NM_009993,92451.8,37834.8,64783.8,24400,28306.3,17969.3,26306.3,19402.6,15832.4,17947.1,10994.3,6257.67,18939,23582.9,223330,37123.4,161436,30712,14502.3,19472.1,16839.6,12373.7,25548.2,13098.9,194679,18713.8,42001.4,20507.3,25944.1,20544.6
1029,Atxn3,NM_029705,371.362,178.844,258.446,133.928,256.193,132.274,69.5098,84.2969,190.433,127.992,1690.76,1874.51,427.923,242.209,173.685,93.4701,303.831,218.768,153.475,88.2913,71.5437,52.3275,165.299,95.2633,860.608,1014.14,113.527,117.21,117.984,1126.44
1200,Sox9,NM_011448,334.006,378.932,208.981,195.554,195.874,118.091,170.77,201.787,251.889,253.133,714.786,611.008,254.298,225.687,229.68,212.804,203.657,122.563,170.961,224.137,63.3331,140.572,211.403,104.169,309.001,283.164,49.8826,61.2008,108.209,710.619
1597,Arid5b,NM_023598,11198.2,37459.1,3176.37,15315.7,5903.34,20566.6,37136.9,32667.3,10907.5,37406.9,8860.96,22479.3,15331.2,59106.3,7217.79,31485,9985.42,31848.7,2446.14,24554.3,23743.8,31970.3,2185.64,3799.4,6572.92,7294.39,4128.31,5777.68,2017.71,3779.37
1875,Xlr4b,NM_021365,2308.53,4150.39,1149.3,2493.49,1424.36,1985.7,4141.73,2090.73,416.374,2817.23,1915.26,1736.76,1603.43,4342.63,2624.64,2818.33,7196.74,2444.53,473.127,2741.03,1667.81,1667.48,372.983,1409.19,2151.28,1556.31,1388.81,2260.86,474.55,2629.39
2077,Tfam,,63718.1,111815,22530.3,56800.1,23860.9,61526.2,91291.4,79336.1,42181.8,100077,20293.9,52986.3,58512.1,143112,37022.9,103895,41315.9,99348,16068.7,101019,55500.6,73250.8,20303.7,29128.5,31500.6,31389.9,30985.7,43392.7,19813.8,33745.1
2161,A_52_P567281,A_52_P567281,133184,253214,40432,163931,48742,146029,116976,163718,76931.2,249029,38611.2,176363,124027,363717,64462,271716,71414.8,169149,15495.6,251104,93620.2,135404,47998.1,104139,93466.9,123051,56507,159653,38523.6,135663
2263,Cnih2,NM_009920,142.098,171.25,118.082,93.0471,156.816,113.786,151.955,128.941,123.431,88.6605,1166.57,1326.44,277.097,169.433,894.208,110.231,1353.31,147.885,165.375,121.788,102.133,78.2807,134.321,85.0247,1965.99,603.925,251.808,151.952,163.651,123.263
2306,A_52_P1156957,A_52_P1156957,67.4123,3677.67,150.167,2222.91,58.7321,1238.9,41.3781,1818.26,529.571,2296.17,1566.84,1462.84,293.53,2396.98,131.809,2117.63,209.812,1498.55,8.83637,2081.43,37.1406,1255.08,86.1777,1070.83,655.896,1226.52,46.0325,1797.42,18.7554,1810.34
2605,BC048507,NM_001001185,61633.6,158092,18037.4,87306.2,17707.3,50347.3,48817.8,30664.2,37821.6,59428.5,13329.6,23337.2,38401.3,84140.4,20702.8,54657.7,33696.3,52288.2,14939.3,92409.9,35390.9,39718.6,16868.1,24968.7,23922.3,19143.7,37842.2,44426.2,25218.2,38278.4
2837,Plin4,NM_020568,306.674,1966.3,371.574,1241.6,311.196,826.295,600.751,1025.36,628.604,1221.87,1280.87,1316.55,450.068,1337.82,181.23,1207.95,406.763,917.017,764.571,1469.31,279.797,760.664,317.369,828.514,1162.31,1259.09,875.215,1339.81,878.545,1166.27
3152,Cox17,,148536,246400,54715.8,165036,62812.4,139969,164398,164801,90197.2,232203,40715.2,183919,154921,348616,76245.5,263258,78722.6,169886,13513.3,238890,100527,132665,63156,119932,124560,149555,73867.2,202091,59055.5,194199
3326,Vapb,NM_019806,20497.4,45182.4,4258.33,27833.8,10029.2,23458.3,6651.73,26011.2,22301.6,38064.8,11081.3,14639.4,7924.12,50147.5,15986.2,39312.9,10218.1,30310.4,19955.7,39673.1,16483.9,23849.2,12946.6,19114.6,2915.56,14330.8,11203.8,29665.1,20592.6,29974.6
3342,Ahrr,NM_009644,17.6314,41.1015,38.543,57.0072,65.1225,111.324,21.9778,25.5801,43.8696,53.5083,2196.64,3014.32,187.231,209.075,2190.9,164.521,1743.47,345.584,20.8257,28.2358,12.6209,15.6959,48.1127,77.1461,2013.82,1475.67,22.775,34.2263,8.65138,22.1757
3514,Cyp26b1,NM_175475,294.319,2573.72,290.365,1674.58,119.367,969.794,228.558,1369.05,489.919,1830.51,2482.17,2985.88,369.046,1840.81,122.709,1718.64,235.018,1084.63,263.943,1876.96,312.857,1050.13,518.016,970.697,1761.16,1550.74,125.981,1456.59,1758.36,1428.8
3662,Mogat1,NM_026713,228.395,391.127,163.963,289.39,183.281,315.146,221.032,251.579,2347.48,347.788,4317.89,4377.05,3438.81,733.72,155.053,232.876,368.797,454.023,194.053,254.377,202.245,137.602,172.056,209.986,1353.69,1915.69,215.715,251.038,150.492,237.572
3771,Cyp1b1,NM_009994,87.0899,59.6781,91.6115,38.1572,135.247,43.1514,19.7982,36.6536,87.1129,23.6609,984.177,1145.72,100.324,91.5554,4711.29,261.789,4132.63,252.321,55.3134,34.1297,12.4476,16.0225,42.4362,36.7152,2110.12,799.237,18.8657,31.4315,44.9268,28.9584
4277,A930004D18Rik,NR_028376,262.529,528.799,208.142,296.15,304.868,184.486,311.42,242.154,343.77,326.797,745.614,672.007,379.057,257.561,1291.52,334.611,1743.27,258.841,524.909,341.025,180.065,187.122,181.883,128.48,2378.89,351.134,450.695,203.87,203.093,213.84
4436,Dirc2,NM_153550,2550.41,6211.62,343.681,2591.23,1627.87,2837.91,2494.53,3661.79,5799.65,5219,5000.37,4452.72,1900.56,4927.63,5410.04,5086.28,2756.42,3778.13,9138.96,5754.42,3099.7,2895.57,3594.72,4840.91,1936.76,4116.89,8208.42,7762.8,5260.83,6246.07
4456,Grin2d,NM_008172,17790.5,24665.5,4469.88,12863.5,5125.18,11207.9,11343.4,11341.2,6519.81,17071.5,7399.92,8962.32,11206.9,23812.5,4756.7,15091.9,5889.75,16098.6,884.682,14608.3,7015.73,9231.96,4259.56,6543.61,10319.5,7100.32,3973.59,7846.34,2954.72,6654.23
6218,Vps13a,,16383.4,30146.3,3195.45,12764.5,6597.93,16801.2,13757.5,16654.3,9058.32,30153.9,11705.2,24346.8,19329.2,46801.1,6113.28,24370.1,9635.51,31883.3,577.211,15385.3,9840.68,14594.3,5029.34,8632.46,14896.7,13744.6,3179.03,7761.06,2096.45,6403.28
