	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"
220_Cyp2b9	-1.18243	-1.15863	-1.52733	-0.688004	-1.08881	-0.234284
898_Cyp1a2	0.388024	0.424076	0.779299	0.720692	0.290126	1.01716
3514_Cyp26b1	-0.941743	-0.760962	-1.14631	-0.66418	-0.27274	0.0552578
3771_Cyp1b1	0.164153	0.380374	1.25519	1.21427	0.0628909	0.421631
15275_Cyp2b13	-0.975143	-1.06966	-1.59959	-0.957954	-1.16821	-0.631494
15776_Cyp3a11	-0.131398	0.0632245	-1.00082	-0.204367	-0.237845	-0.241525
18993_Cyp7a1	-0.726983	-0.541154	0.204028	-0.0849298	-0.699292	-0.203483
19157_Cyp2b13	-1.41876	-1.56401	-1.63873	-1.34535	-1.89252	-0.844977
20284_	-0.683105	-0.750734	-0.834569	-0.387881	-0.604067	-0.17964
21336_Cyp2b9	-1.36938	-1.45238	-1.7368	-1.18872	-1.62934	-1.02337
22754_Cyp2a4	-0.892361	-0.623794	-0.547191	-0.482769	-0.718476	-0.400501
24454_Cyp3a16	0.00140105	-0.0338216	-1.14935	-0.27216	-0.040225	-0.229647
28351_Cyp4a14	-1.03605	-0.579912	-2.00728	-1.47683	-0.609912	-0.725726
29221_Cyp26a1	-0.669429	-0.753646	-0.564282	-0.677615	-0.966803	-0.0946918
34474_Cyp1a1	-0.125703	0.0471433	2.35955	1.86769	0.0256722	2.0182
34835_Cyp3a41a	-0.214234	-0.0995252	-1.14682	-0.170186	-0.0797381	-0.25843
36488_Cyp3a44	0.0889133	0.0468354	-1.0334	-0.192226	0.0837979	-0.110936
38709_Cyp1a2	0.449186	0.511245	1.14001	1.12152	0.318774	1.19697
40638_Cyp3a44	-1.67419	-1.77891	-2.14877	-1.56242	-1.60579	-0.67568
