,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,	,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE B3 TCDD 10ug/kg 48hrs
9653,Cyp2c65,AK008688,0,-1.4604781591629,-1.101086572802,1.6081128909249,,,1.5005329391302,2.3923875481195,-1.6882453673648
19818,Cyp2c66,NM_001011707,0,-1.193224054971,-1.1144202628255,1.3297530649505,,,-1.5578738950549,-1.3058220566449,-1.5845385151931
27215,Cyp2c70,NM_145499,0,1.2200910274477,-1.427252021076,1.1697914245478,,,1.1675253885358,1.1224567949085,-1.5945849714608
18529,Cyp2d10,NM_010005,0,-1.0927848530181,1.1066577591049,-1.0126950021758,,,-2.3530365147272,-2.2612816924824,-1.2609340331186
32703,Cyp2d10,NM_010005,0,-1.1612509082227,1.1960345719783,-1.0299536159751,,,-1.1693075845113,1.0929662043812,-1.4647043341545
9699,Cyp2d13,NM_133695,0,-1.0048684249356,1.207165458048,-1.2013169367177,,,-1.3087919044465,-1.2803673768593,1.5363331444116
3355,Cyp2d22,AK086555,0,-1.6494226979795,1.736176739051,-1.0525966092123,,,1.1824765403204,1.4692311697559,1.9254490599535
38067,Cyp2d22,AK090296,0,-1.2268176062988,1.1409247464457,1.0752835453177,,,-1.3037370271382,1.0407945274086,1.0804682263992
40581,Cyp2d22,NM_019823,0,-1.1520199499808,1.1497859568597,1.0019429643472,,,-1.9619670075207,-2.1589540542463,-1.2854760807421
20313,Cyp2d26,NM_029562,0,1.0660215887956,1.0856504082168,-1.1573267730438,,,-1.0043498059615,1.1357111773255,-1.2046530929058
38540,Cyp2d9,NM_010006,0,-1.2599587686331,1.2494608901731,1.0084019264169,,,-1.6906170063195,-1.2586887001153,-1.580546339642
39394,Cyp2d9,NM_010006,0,-1.3815050177971,1.169011364967,1.1817721017931,,,-1.6447080711752,-1.2450828945967,-1.3640741116729
23755,Cyp2e1,NM_021282,0,-1.1362520157047,1.2338669552104,-1.0859095853354,,,1.2900850227951,1.3076915978679,-2.010873110143
36877,Cyp2f2,NM_007817,0,-1.1833797499401,1.1499256640416,1.029092390008,,,-1.174165818465,-1.1003760602784,-1.3471883958599
11209,Cyp2g1,NM_013809,0,-1.4542743134523,1.217089923017,1.194878279698,,,-1.0684060370187,1.8436762732262,2.5369141258327
44178,Cyp2g1,NM_013809,0,1.958411722331,-1.7825552515724,-1.0986541486461,,,1.3959118691988,2.0644653591723,1.0010113459216
32203,Cyp2j11,NM_001004141,0,-1.1192076414603,1.0921601678241,1.0247651163566,,,-1.054216153857,-1.0127276481319,-1.0024660341938
41213,Cyp2j11,NM_001004141,0,2.052045565408,-1.4110551885007,-1.4542631515273,,,1.1401789006663,1.1874217510024,-1.1468958994809
399,Cyp2j13,NM_145548,0,-1.0832806857417,1.1470834134117,-1.0588976878383,,,-1.1182940134468,1.2545096316152,1.0554289438494
27115,Cyp2j13,NM_145548,0,-1.2287700952583,-1.3739459028365,1.6882636379082,,,-1.4548614398284,1.1425822332904,1.2095601401944
27721,Cyp2j13,NM_145548,0,1.0616874084155,1.031809843324,-1.0954595185362,,,-1.2945783307864,-1.812966725667,-1.9830032835602
30963,Cyp2j5,NM_010007,0,-1.0615045661668,1.0366709609748,1.0239551469337,,,-1.0442376957262,1.1446031409367,-1.3345813964725
33567,Cyp2j5,NM_010007,0,-1.0775166755831,-1.0228336326736,1.1021202955531,,,1.1506546583023,1.504201786008,1.1592414461691
39714,Cyp2j6,NM_010008,0,-1.1469733663088,1.1017794471095,1.0410190254663,,,-1.1824950551847,1.0225361405453,1.156414867781
36127,Cyp2j9,NM_028979,0,1.0104232557835,1.1194387426678,-1.1311069390166,,,-1.247083883338,-1.0680526617057,-1.0776870561222
24955,Cyp2r1,NM_177382,0,-1.3800982335407,-1.2077971486573,1.6668787113373,,,1.3010284694123,1.6488266563269,2.2679631821913
21113,Cyp2s1,NM_028775,0,-1.702514162579,-1.0163206113874,1.7303002346081,,,1.4930720535403,4.8662147038534,1.6164406618662
24693,Cyp2s1,AK054324,0,1.0851035891984,-1.0416830560196,-1.0416830560196,,,-1.0416830560196,-1.1631914466264,1.0360785915825
35663,Cyp2u1,NM_027816,0,1.2076367850916,-1.1202312063427,-1.0780245883653,,,-1.4898778606937,-1.348589166782,-2.4287357565189
15125,Cyp39a1,NM_018887,0,-1.0223336756154,1.0143184690423,1.0079020611551,,,-2.1558109160612,-1.4259528536942,-1.2248402985233
19860,Cyp39a1,NM_018887,0,1.093966525994,-1.0133061223957,-1.0796012200218,,,-2.8624358775223,-1.4625703558488,-1.1718368926353
15776,Cyp3a11,NM_007818,0,-1.0700198474164,1.4629539863513,-1.3672213556446,,,-7.9216168602337,-1.2657875896269,-1.378855746238
13211,Cyp3a13,NM_007819,0,-1.0714777737588,1.0691197030534,1.0022056189767,,,-1.0873470152211,-1.0258270969787,-1.1674523579486
24454,Cyp3a16,NM_007820,0,1.060757798569,-1.0223660437692,-1.0375518680748,,,-13.339354572758,-1.7698840549139,-1.6048402817202
10764,Cyp3a25,NM_019792,0,1.3186949205218,1.1096891336404,-1.4633414238899,,,-3.1645114155081,-2.3985493952408,-1.53247453518
32523,Cyp3a25,NM_019792,0,1.1945685224715,-1.0121501255892,-1.1802285967964,,,-3.4659391468841,-2.0239740190287,-1.860269789869
34835,Cyp3a41,NM_017396,0,-1.2107883492653,1.0755746717768,1.1257129616721,,,-10.367027088681,-1.0940073337616,-1.3404920211677
36488,Cyp3a44,NM_177380,0,1.0368862132352,-1.0625436984547,1.0247447452691,,,-12.781511055217,-1.8425029844784,-1.5279818656883
40638,Cyp3a44,NM_177380,0,1.0282688192696,-1.2376941360165,1.203667866634,,,-2.9005030957535,1.3300766418659,10.247470261815
31583,Cyp46a1,NM_010010,0,-1.2214727987035,-1.1616780943878,1.4189581931444,,,-1.067900524954,1.2781202038526,1.5430322390254
19844,Cyp4a10,NM_010011,0,1.0244143812045,1.2064206621324,-1.2358746760707,,,-5.0709722427467,-2.7683132623557,-1.7482970845114
35102,Cyp4a10,NM_010011,0,-1.219751797161,1.2047860585025,1.0124219055764,,,-3.8544060706723,-1.5432044489093,1.3478077005411
42319,Cyp4a10,X71478,0,-1.035084169733,1.1917175451736,-1.1513242884209,,,-2.5662009810315,-2.0280173524911,-1.1842180235485
35603,Cyp4a12,NM_177406,0,1.0773777444058,1.1499368731234,-1.2389163945748,,,-2.0645842027719,-1.4265697148753,1.0382214564456
38409,Cyp4a12,NM_177406,0,-1.0887209666455,-1.0239275459842,1.1147713876389,,,-1.1569510555968,1.2470320439663,2.7396470327703
28351,Cyp4a14,NM_007822,0,-1.9683032066231,1.4522654318195,1.3553329601443,,,-18.421373155533,-5.4309024243046,1.0380828112954
25989,Cyp4b1,NM_007823,0,-1.1957547094354,1.1203739437671,1.0672817911267,,,-2.3279309803985,-2.1741880279797,-1.0097707817466
43791,Cyp4f13,NM_130882,0,-1.0485407982515,1.0208329196679,1.0271424226724,,,-1.9094853615015,-1.4955823572793,-1.0614201629907
35203,Cyp4f14,NM_022434,0,-1.0226062278635,1.0986234548396,-1.0743367533903,,,-1.0116324072118,1.1294574298674,-1.3332725364185
2565,Cyp4f15,NM_134127,0,1.0265235881526,1.0233684726191,-1.0505118765153,,,-2.2811464432425,-1.445350465515,-1.1671884106363
3147,Cyp4f16,NM_024442,0,1.1262941628388,-1.1087046440437,-1.0158649274986,,,-1.1488096279913,-1.0714321814503,1.0542670500419
40823,Cyp4f16,NM_024442,0,-1.6965770972651,1.7393252431485,-1.0251967010237,,,-1.0174901180195,1.2228967758853,-1.5855359735598
20074,Cyp4f18,NM_024444,0,1.0069113431383,1.1276853366927,-1.1354791570067,,,-1.787421866812,-1.6383137140115,-1.1964313014393
17569,Cyp4v3,NM_133969,0,1.2325938599413,-1.05377526434,-1.1696932938668,,,-1.178644950624,1.0057499044877,-2.3539975147603
17083,Cyp4x1,AK038526,0,-1.4030851667198,1.434210067306,-1.0221831869686,,,-1.1525955362822,1.8490675057357,-1.3167630564718
5753,Cyp51,NM_020010,0,-1.4290846902638,1.3653592387275,1.0466730291404,,,2.5774546539702,2.8519639616897,2.0901046590147
18292,Cyp51,NM_020010,0,-1.6046894597423,1.2887657920352,1.2451366025228,,,1.2391674585272,1.3273272177816,1.1687671591963
30412,Cyp51,NM_020010,0,-1.5338042376977,1.3393974465873,1.1451449617183,,,1.1998403602901,1.2025204388377,1.5271843561246
1916,Cyp7a1,NM_007824,0,-1.3391482763781,1.1352835193151,1.1795716696267,,,2.9799867518438,3.0389624461216,1.449319159052
18993,Cyp7a1,NM_007824,0,-1.1780760672383,1.3021339633014,-1.105305505742,,,7.2416522642958,3.7228871054095,2.8335225071546
14579,Cyp7b1,NM_007825,0,1.3933920660273,-1.3793442432275,-1.010184421234,,,4.2793256151176,2.7931118885052,2.1117686257236
37708,Cyp8b1,NM_010012,0,-1.0618406160064,1.0990556081305,-1.035047625381,,,-1.5034615760984,-1.3685237328975,-1.4539930590631
36814,Cypt12,AK005586,0,1.157090514383,1.1016517618153,-1.2747108037498,,,-1.2455772478763,1.5160388593121,1.051086198016
20816,Cypt2,NM_173436,0,1.6867200212256,-1.3390043873089,-1.2596822215165,,,1.1399846406553,1.4139052269831,1.227088822059
1051,Cypt3,NM_173367,0,1.3062530976217,-1.2137735426119,-1.0761917703452,,,1.0152297444361,1.0152274067859,1.3946098662871
32938,Cypt4,NM_173412,0,-1.3041313448855,1.1419857025749,1.1419857025749,,,1.1419857025749,1.1419857025749,1.2253421324937
34876,Cypt6,NM_025738,0,1.0898899970417,1.0898899970417,-1.1878602056515,,,1.0898899970417,-2.0259994976179,1.1477004889632
