Clone#,Gene Name,518:TE A1 Corn Oil 10 ml/kg 48hrs,519:TE A3 Corn Oil 10ml/kg 48hrs,538:TE A2 Corn Oil 10 ml/kg 48hrs    ,520:TE E1 Aroclor 1260 200mg/kg,521:TE E3 Aroclor 1260 200mg/kg,540:TE E2 Aroclor 1260 200mg/kg 48hrs,530:TE C2 Wy-14643 50mg/kg 48hrs,531:TE C1 Wy-14643 50mg/kg 48hrs,532:TE C3 Wy-14643 50mg/kg 48hrs,533:TE B1 TCDD 10ug/kg 48hrs,534:TE B2 TCDD 10ug/kg 48hrs,539:TE B3 TCDD 10ug/kg 48hrs
696,Mmp9,6.6369263759633,-1.7515518581927,-2.0287428395773,-1.5955447893422,-3.0179775163612,-1.5846596511774,-1.9261317937712,-1.3255404953592,-1.4578706742155,-1.3896710171353,-1.7076348128284,-1.1458353065293
726,AK035407,1.1256456567888,5.0740296419965,1,1,1,1,6.1795948134566,1.01445769322,1,2.5647438671591,1,1
791,NAP051762-1,-1.9153449457536,-5.6325752173692,-3.3257147760885,-2.4067445663944,2.1947042265118,1,-1.3011399152951,-1.3571567154507,-1.4552714188518,-2.370200033907,-1.5059896945205,-1.2978664320263
793,E030045M14Rik,-1.6903864391443,-1.3753777679924,-5.2580413846434,1.1352355954,1,-2.8684481236284,1.1209429244696,-1.1456561743071,1.0081040279502,-1.9884972742067,-1.5102122892908,-1.2225482265693
801,Cdk2,2.5765703213956,3.9503447633245,2.0720966089973,5.1746740618053,1.063943339153,-1.0386367855447,3.4940651617848,1.2881991255084,2.1246676234979,1.8495667098856,1.7506688325649,-1.104863941225
821,Rmrp,2.4764239755942,2.2454893519971,2.7409177289166,2.5696915712065,6.7694128271257,3.6394352738392,2.9282692031142,1.3537610046373,5.7423280577079,1.9671161320937,1.8339563719044,1.8440003536143
858,4932442A14Rik,1,-1.053333750746,-3.3762686797011,-1.3523247609446,1,1,5.6562292065853,-1.1325758580965,-1.3092241267186,3.1957882820762,-1.2911033262719,-1.1076052356795
898,Cyp1a2,2.4435655853874,2.6550701492197,1.9504103818998,1.5752591103784,1.3558136438624,2.0481228366554,-1.1335654485458,1.7569321902991,-1.2452025460275,6.0158777184483,5.2564434919106,10.403033571587
960,Bcl9,-3.4800541366509,-3.0775208221533,1.3050104820197,1.2162333278499,-5.2709512557215,-2.0072940626187,-1.2546656265327,-1.0284955098132,1.0361043570214,-1.5716071646212,-1.6573834582812,-1.2202330958615
987,BC052484,1,-5.6089168266071,-2.2182321731904,-2.207806461289,1,-2.4100885530503,-1.3899334284408,-1.2989756198963,-1.3491275160338,-1.8751628916695,-1.8307877590493,-1.3040402609068
997,Olfr395,1,1,-5.5431419468906,-3.1277929757955,1,1,1,-1.3691309876784,-1.4222600130913,2.162111068154,-1.499267062318,-2.2571426131825
998,Aurkb,-1.9658030293927,-2.2500076774061,-1.0251707347235,3.7321406305061,-1.4814193055898,-1.5424674213027,5.0681446313952,1.131542316535,4.3350788381081,2.0083573962004,2.0692168200382,1.0060660642467
1043,Dtl,-2.1681184242318,-1.4250956026463,-1.1962928305731,2.907823218509,-5.6343263698307,1.0476822835642,1.4573840091267,1.0693837982131,2.3214802860476,1.5862476803044,-1.0864416338947,-1.0750080094098
1044,Mobp,-12.8179921123,-2.8291175969481,-3.4457598000608,-2.696056566637,-5.3884021406994,-7.9769707577003,-5.072137286588,-1.1651158222256,-2.3617069084947,-7.3670056003014,-3.035414469269,-1.5605187816811
1047,Apex2,-1.7597784699058,2.3401839691825,1,1,-1.565117689443,-1.6660268642008,4.2210937704951,1.3124627916679,4.6920755895111,7.4503727242253,1,1.1153467342596
1112,Cnnm3,3.1654685280138,6.2968014587628,5.8424364885597,5.3753407504313,-2.8180844270133,1.2409577624664,5.5560737266473,-1.0659170277331,1.8784429081049,2.2589519855113,3.8975796581748,1.0364040465921
1118,Lrrc48,1,2.1812728811695,-1.2627140127436,-1.1447749035791,-1.1391790775392,-1.0542696394207,5.0322128222538,-1.117717884262,1.5670288782147,-4.2195000852958,-1.0293190251052,1.0808885093676
1119,Aco2,1,-1.5029550776458,-1.8093808935412,-1.7730949790663,3.9196925185831,2.4416252075963,-11.426152076229,-1.3968282185074,1.1868321435173,1.4334679919966,1.3015204610759,1.0816025437813
1166,Mycn,1.0684987046462,2.0793710824512,1.4146630167341,6.4666893708979,1.1320721330862,-1.1808219022987,2.5166510385583,1.2853310529388,3.1331558631807,1.6672395346116,1.8909236776463,-1.0195196248997
1340,1810026B05Rik,-5.391120014631,-2.486835165776,-3.4714267043311,-1.2449837990418,-1.3216272969292,1.1739097237742,-1.6278860442155,-1.2015241380564,-2.1873687336629,-2.9495923620716,-1.085702655345,-1.0973536183489
1354,Srgap3,-2.5719942894649,-1.3818566727109,-1.1520000554729,-1.1105880599101,-6.7825343201035,-3.3005399967035,-1.7992147384109,-1.1260345081736,-1.4475480878748,-1.7196220291781,1.051643156419,-1.1097738828061
1385,1700108M19Rik,1,-1.435905966182,-1.0256587750617,-1.4921930056787,1,5.205386722776,4.5430655174254,-1.0628764877889,2.6188462370164,1,1.0901187260138,1.1149715861549
1422,AK081614,1.4912484318905,4.8207987309106,2.467589991017,5.3502860259848,-1.4059601131572,1.3672155840603,3.9838593750202,1.0054069661664,2.4783691814973,1.6992449972927,5.3347982495539,1.0212067576348
1486,Pole2,-1.0148977039868,1.2792340184202,1.2006424659297,2.7305491609341,-2.4936184352077,-2.8679858216743,5.3637805361724,-1.1169419437365,3.4328118444406,2.7355206654685,1.4140963457965,-1.0942748050615
1515,2810436B12Rik,-5.1271143073157,-2.8536256497892,1.5999816433225,-1.5647645552547,-1.2675292789814,1.0531741721342,-3.0995882079683,-1.0799496299938,-1.8737515279424,-3.9365339382467,-2.0387876773384,1.179804368738
1595,6330500D04Rik,1.2339589150448,2.4989640015058,1.5607775154922,5.0220033722088,1.138515375289,1.7811807792261,4.2744673094078,-1.0977304214638,2.4858275676306,3.1345990670621,2.4327921176178,1.1096369245623
1661,4930562F07Rik,-1.0086756805634,-1.6487735052921,-1.4125993432445,-1.1968634372401,5.5276558986335,1,-1.8775304968197,-1.0772767824516,-1.039369096915,1,-1.3712795519278,1.0875874813303
1855,Tmem185b,2.1863616450436,2.6873485609834,3.0623864887951,4.0757074194871,1.0936407901674,1.2393169798657,2.0416016122361,1.3119521633497,3.6073642750536,2.4215252392368,5.3796745093139,1.019623743202
1858,Fgf6,1,-5.1221465508012,-1.5407848516487,-1.9187703550159,1,1.1549085592539,-1.9995395559598,-1.5282696904098,-1.5374145964102,-3.4219448033087,-1.5930338348873,-1.1576881822241
1875,Xlr4b,-1.7978522585329,-2.1695816549749,-3.7781569920231,-1.3940970236645,1.981002392291,-1.6279085344477,-6.7660935784053,1.1027813174942,-2.7083450889642,-1.073798270162,2.9440148750156,1.3822894710633
1900,Gfap,8.7179023472344,2.2406292442552,1.044955749817,2.1697115456688,1,1,1.2407049073708,-1.0825545756588,-1.061889924215,1,-1.1613226595266,-1.0769117115648
1917,P42pop,-9.2056826655946,-8.7911967535886,-1.3971338019329,-1.522060796356,3.6160297927167,-1.0487181878257,-2.0394637948475,-1.1074733901581,-1.2055302153905,-5.5822592239662,-1.559153952501,-1.003759387556
1977,Rag1,1,1,1,20.761082775351,1,1,1,-1.1116121883914,-1.637589330219,1,-1.0973619566558,-1.0700579550501
1979,NAP102119-1,-1.3628278500327,-2.3133215309246,-1.5308230750743,-1.0544286556456,5.2037569029411,1,-1.3677414229019,-1.0586482891451,-1.0023774084933,1.0006403673527,-1.4373482349405,-1.2451945179359
2011,AK085610,-1.4285912967764,1.1659477803972,-1.8027437559619,-1.1679635783625,-1.3633143310395,-3.255764624253,5.5371208209846,-1.2245981527868,-1.2292004200665,2.3650700039987,-1.5841270139139,-1.5385832495737
2019,1700001J03Rik,1,1,1,1,1,2.7052723891702,1,-1.0596164698218,6.2455832266181,4.1697786370935,1,1.1901225935106
2028,BC002199,1.920100673707,3.2336052404593,2.6253305964585,4.9662433897259,-1.2060319133035,-1.3141411056062,2.8496203266518,2.1075699610693,5.9485484062119,2.8193565343687,4.2191114728725,1.1006113825941
2032,Sdk2,-1.4548157696657,-1.783655593064,-1.3925410295503,-1.4208034402142,8.0637489806068,5.8714180010855,1.4027103452363,-1.2415568203271,1.436573993253,-1.3477551499491,-1.0059455180655,1.0410346862121
2034,Pard3b,1.6745109814876,1.7860022431089,1.6987129593581,1.0858919159913,2.0069150972348,2.254244402736,-1.1119718677912,-1.1558569800868,1.0286106106969,7.0464276967393,1.0366329284377,-1.1942317136787
2044,ENSMUST00000103507,1.3640428077615,-1.7644648045848,-2.0871612350791,-1.9086618808118,8.1313751840061,2.6807295398217,1.2446616257747,-1.3093899402155,-1.0360513954255,-1.7097121578713,-1.5508078832577,-1.5725338400769
2057,Tmeff2,-6.3863835851176,1.0867641411265,-2.5143399738817,4.1294765097403,-2.9303196677392,2.8187204089271,-1.0767220326857,-1.0204820265068,2.0875024794829,4.0181116483016,1.3801109447737,-1.0089833507592
2076,Slc26a3,1,-1.9810708148712,-1.4194006507399,-1.2449330598196,-5.5861680944534,2.3221432110141,-1.4820573175184,-1.0954677583704,1.5435332881449,1.3246922636724,-1.3892934878053,-1.0795438807251
2105,5530601H04Rik,1.5670144454118,1.5130246376329,-2.2919862083099,-1.6308536877417,-1.3436928307507,5.243653670986,1.8295656591884,-1.0170778586265,1.0264393665976,1.2309817094166,-1.1605028196777,-1.0340930040385
2229,Barx1,6.9423259431622,1,1,1.7136652889794,1,1,1,-1.1422432491979,-1.1592032764928,2.2059618628941,-1.9536645673966,1.2523464816457
2233,ENSMUST00000036010,-1.1199651269923,1.0905352296789,1.0922423207766,1.5515758097548,5.1139208263343,2.411065451363,1.9951198979527,-1.1493365026242,1.8148176736379,1.55423254976,-1.098177142384,-1.0068019313847
2246,Arhgef2,-1.233364375192,-1.7663021598706,-1.7701374893329,-1.4844582920934,-6.2490787842592,1.1342309661998,-1.686176374563,-1.1949518336202,-1.3235489261148,-3.3318849745231,-1.7669041874765,-1.0681796501888
2252,Nlrp12,6.0387353931682,1.4189170261146,2.6047197317778,1.5792285981214,1.497697138403,-2.43050769281,-1.01474266329,-1.0022163027474,1.1502464458207,2.304586428311,-1.4243050036897,1.2918021410109
2263,Cnih2,-1.2051602532446,1.269050778916,1.5797886888863,1.3781643134866,1.1784788697922,1.6571544981109,1.3921723372819,-1.1370411964114,1.6354339159733,8.1120944769592,9.1511568672219,3.2553673247164
2268,Cdkn1a,2.1939059198048,-1.1039713427984,1.2785125633683,1.8446755860802,-6.2259553245448,-2.3965969374079,2.0427348583458,-1.0160443612948,1.3922075992765,2.1161867946922,2.0953472190017,-1.3431917015545
2290,Hivep3,-1.4075861988551,-5.1774033454712,-1.1852255362752,-1.5814883607696,1,1.9488391700537,-1.984526945296,-1.1694684234034,-1.0511008807587,-1.6598582447618,-1.3758275447766,1.0825770099575
2304,Pgk2,1,-2.4889604749238,-2.0829123739714,-1.7102830830453,11.526567556718,6.3980112589228,2.5176363479284,-1.1960292476455,1.2502708334674,1.1483751867269,-1.3964487447939,-1.1332851551461
2306,BB505010,-54.554427173204,-14.803008891487,-12.425961394648,-21.094051403706,-43.942018237862,-39.047209269354,-4.3359074139786,1.0710992124848,-8.1660493467506,-16.065712837114,-7.142364335568,-1.8699930825331
2316,Foxc2,1,1,-1.1129647256357,5.5287760671484,1,1.0463582431355,1.1184642317271,-1.1226138605237,-2.85286354853,2.5835983588546,-1.3361124167623,-1.1953635256737
2331,Stc1,-5.1492858346863,-1.8382010083451,-2.5811188351741,-1.8423875915506,-5.7032314947455,-3.1581227051332,-2.772407084784,-1.5185881268356,-1.7768182243264,-1.6433573062828,-1.5941970457804,-1.7529357569522
2333,AU022252,1,1,1,1,-1.1702967527878,1,1,-1.0345936296969,1,5.5331825673972,1,-1.0979402337817
2400,AK049577,-1.7723398400316,1,1,9.2512837161634,-1.4830711953948,1,6.6036036666379,-1.0697650374989,1,6.6872413861071,1,-1.2829567026234
2402,Apobec3,1,-1.3040702878892,1.0474343204944,1.1190172980159,5.9501648763919,1.0948882624031,-3.0065677868022,-1.1376650070131,-1.3908778789672,7.3770546369258,-1.3102464750627,1.0343309020039
2430,Mogat1,-3.0736470814788,-1.8735746429263,-1.1953657276167,-1.6213844366723,-2.2181759895503,-1.3220868938795,5.9627829366553,1.2492903921984,3.5739790300547,-1.2479155603555,-1.3783959868209,-1.1418987564482
2489,AK083045,4.5203493493972,6.9413828747454,1,8.4582593987116,1,1,14.411858850546,1.0163418525042,-1.5399265260595,6.9387781142558,1.6044345295463,-1.0601277431888
2492,Zfp449,1.0708856524507,7.3938902516028,2.1765417393477,4.8266299118624,-1.818239130404,-1.3020240312195,2.5542946867887,1.1585970009897,4.6406412917536,1,1,1.1124996934939
2496,AK046775,-1.1377991369282,-2.0936833532014,-2.9578966805357,-2.6148693828446,-1.5551489805252,-5.4133486625755,-1.5743852053529,-2.105081914075,-1.8612083831912,-1.2905445466733,-1.6019501594314,-2.6869030728033
2571,2610207I05Rik,-7.0379957460463,-2.1607673058314,-3.3490759767039,-1.7130222344588,-3.5484852145768,-3.9681309900176,-3.2449499302415,-1.3150401117226,-2.2943675940575,-2.9460492310058,-1.9029921640653,-1.1948632393039
2576,Rbm25,1.8783607296844,2.0744835721617,-1.8770593300123,1.8641549138957,-1.5214511051375,-1.1116974257283,6.2377217786609,-1.2419030680957,-1.0008229899545,1.5332324419601,-1.0322519215686,-1.1037405544187
2583,Xk,2.8433020620202,10.823058353719,1,3.0635149215238,1,-1.1060455174547,1,-1.2077023183805,1.0113714505295,5.8952469192078,1.8888392552823,1.0362415449137
2601,Tsix,-8.2799173178546,-2.7197751411994,-2.2906250194032,-1.7520278283209,-5.2596518738975,-6.5039620720684,-4.3558307852934,-1.2268478325868,-1.5736748351051,-4.4269742921718,-1.522947737325,-1.0885798722827
2616,AF044174,1,-1.7887020305289,1.2135573362056,-1.8615212576053,2.4082856616806,6.8156926825839,1.4721158883223,-1.163182608114,1.9696270498211,1.0111003017538,-1.1824543954712,-1.1264437248182
2686,Ero1lb,1.8001885704444,5.477041101144,2.0482548882714,1.4779508785276,4.0687312073673,2.1667459825802,2.6848807431422,-1.063689568063,3.9170850382619,2.015166802227,-1.001986527181,-1.3426567514279
2733,BC023105,-3.4509685387376,-3.3105945822547,-1.738112968653,-1.0833510285815,-7.0763450270576,-7.3853145976187,-3.4934939863277,-1.2855175202629,-1.6042978445288,-2.2342872128686,1.0366186069235,-1.17589217404
2734,Cib3,1.7847771616662,6.6079538316358,3.2203939345556,14.722447014975,4.336796062855,3.7829447634351,11.0649638654,-1.0954634702857,3.2646452806617,2.6090055322602,1.9420347646009,-1.3299153539409
2773,Cyfip2,1.79477081996,4.1988368498079,1.9116879382859,2.019672722605,1.2131106068366,-3.0532825805081,1.341908797133,-1.2985061174673,-1.7735277983032,6.4617923822524,7.9434286692587,-1.1736332366741
2779,Cyp19a1,-7.1823406606361,-4.7378357429652,-1.10396295427,-2.1945475738125,-1.2234062645296,-1.2178012065478,-2.8742596623781,-1.3421807322918,-1.828125472455,-3.3027142479597,-1.7378648528773,-1.2072986082876
2819,A330041J22Rik,1,4.650632261609,1,1,1,1,1,1.0088066350856,-1.066686503222,5.0308920664089,-1.0084404092916,1.0895536000253
2837,S3-12,-6.4116971395476,-3.3414733365541,-2.6105679387821,-2.6552229917425,-1.7067935775707,-1.530833649662,-1.9437884624546,-1.0278617384427,-2.9724804024596,-6.6652892345811,-2.2544260806912,-1.0832632254607
2880,C730045O03Rik,1.1234672062917,-1.0512635340899,-1.4807201963311,-1.2701879840314,6.6941740512214,2.929186338814,1.1192438069386,-1.1769732705908,1.3976486198745,-1.6817870344041,-1.16964912428,1.0425557790815
2887,EG381438,-1.5903400644676,10.951409031003,1,1.0453836418973,1,1,3.7349431865038,-1.1623756404259,1.4831429099787,1.6642325042693,4.8309439643899,-1.0549741056449
2934,Pax1,1,2.2647538155013,1.0613364996707,2.1027275263728,1.2484139129054,1.3850613165281,4.750354275787,1.0459037015293,4.6536423171984,5.5966867518342,3.1796549957959,1.372704318608
2981,Chmp4b,-2.0415169966837,-5.5329659810334,-1.3363770230382,-2.2609918662183,-3.2306804230851,-2.3357426989133,-2.2586555235041,-1.4346203929989,-5.542350662901,-2.4099553703149,-2.5904725819928,-2.2856409060491
2985,Ulk2,1,1,1,6.2413853898385,1,1,1,-1.1254523180342,1,1,2.7284688502814,1
2991,TC1591095,-3.7972833060405,-3.865832207562,-1.8771241624644,-1.2246066120404,-5.8687552754556,-6.0381097139897,-4.9499635393414,-1.309447226122,-2.2274347973649,-2.8693267026545,-1.1496827097754,-1.5541824480298
2998,Usp47,-5.4481743848523,-1.2433700443409,-1.94763692641,1.7372407182338,-2.0037152336107,-2.8090857716435,8.2944386647759,-1.1229202146191,-1.1436738733911,1.0008695645809,1.2217521163591,1.0120343887398
3062,Grb14,-4.2010998133194,1,1,1,-2.4200481114449,-1.0914559179923,7.8436282133743,1.1577092412525,1.118324140968,1.6898493927849,5.0854688678648,1.2064640905355
3094,AK050842,1,1,1,7.0933436410447,1,1,1,1.0257556079633,1,1,1,-1.0654324009159
3105,AU022855,-5.6765177474499,-1.1628834774651,-1.3015114705221,-1.0144380720584,1.035309978886,-1.1266821140592,1.2241997881282,-1.0693330750639,-1.3508900410038,-1.4463653199081,-1.0200468052671,-1.1694896967213
3131,AK140400,1,1,5.2920263749165,-1.4423644175286,1,1,1,-1.1274424949907,1.0388946265885,-1.4576726322624,-1.2689280567592,-1.0488790233645
3134,4921534H16Rik,-2.746350735245,-5.1194935479809,-1.5410190234651,-3.0375609429771,1.5790140705083,-1.1985821344448,-1.5332324419601,-1.457669275851,-2.1642827599774,-2.618623132217,-1.7116186107387,1.2934540351084
3210,Wdr52,1,1,5.2389228145343,1,1,1,1,1.0608073007553,1,1,1,1.0163454798418
3223,TC1672661,1,2.6222192423394,1,1.4596710680041,1,-1.0828188313535,5.7198810849287,-1.0463794454446,2.0600558753787,2.2755165578082,1.0210768737054,-1.1019883417133
3250,Taf1,1.4204174531969,-2.8351823723227,1.2386265930957,1.2209070456991,-1.7017940464923,-1.3084676807438,1.0014891187154,-1.045637860957,1.0862160108129,8.218035254365,1.0175513621597,1.1939237735319
3271,AK086365,-13.312205095833,-3.6127840259418,1,-2.7309578674351,-1.2686475935349,-1.0843834981882,-5.6297615424,-1.1406239858567,-2.3065134953641,-5.6915689311355,-2.4743492527682,-1.0020238669419
3272,Fasn,-3.0668674063432,-1.9753770326551,-2.917299381938,-1.6135929956289,-2.7945700479603,-2.6985284431783,-2.9651727480022,-2.9414197219588,-2.5833068765001,-5.1148158227201,-2.6257175079806,-2.087877432016
3326,Vapb,-2.2043015193738,-6.5363003457956,-1.4764270723779,-2.3389934196548,-3.910443361604,-2.6477745287869,-1.7068210880546,-1.3210887674793,-6.3284594255572,-2.4591895234839,-2.9663473213402,-4.9152657106352
3342,Ahrr,-2.3311488218003,-1.4790538968052,-1.6034447499665,-1.7094602239403,-1.1639070532201,-1.5027993550255,-1.2197120095606,-1.3722429239664,-1.1166688462478,13.3168037627,5.0450096350834,1.3646805441978
3386,6330437I11Rik,1,-1.9779121578628,1.728605935898,-1.1660143627089,12.194949325495,5.2062977267711,-2.9898678964965,-1.0999184830485,1.6732313769161,-1.6206118120607,-1.1615154741213,1.0809367938988
3418,Acot6,1,-2.1883611694548,-1.4706759823399,-1.7911501757018,20.621013188265,4.4418511408016,-1.0488449705391,-1.3434020293171,1.3018231792976,-1.464468383136,-1.1225024562609,-1.0223147573945
3501,C630007B19Rik,1,-2.2027438632988,-1.6461257176062,-1.52213089146,1,1,1.1972209282432,-1.2210684216749,-6.1989909168993,-2.7681396749921,-1.5196759832755,1.0213110247187
3506,AK141415,-5.9901955476704,-4.0602427542432,-3.9433379648978,-2.6581041898253,-2.7129763008035,-2.9639235672563,-1.4762876953993,-1.687209453084,-4.1132584636006,-1.8368766773741,-2.0507985419526,-2.0577471080257
3513,2610036L11Rik,-1.065841190563,1.6029242528795,1.6580858000791,3.4477836037133,-1.2801680971023,2.0429888669621,3.4921830494049,-1.1644273565169,5.031054245822,2.0613607382979,1.4167688512838,-1.0774958347645
3514,Cyp26b1,-8.744661441788,-5.7671599955332,-1.8738723370622,-8.1244879709142,-5.9899334876384,-11.561921063549,-3.7363452535945,-1.2029342768299,-4.988029347236,-14.005867065717,-4.6150881432342,1.1356847654092
3552,B930096F20Rik,1.9699899019507,2.774099282363,3.9401612901933,2.2148585723973,2.2273219653432,-1.4169026090618,6.3189075299068,-1.041520685901,1.4534396378783,2.0953375695934,1.2448699970022,-1.0016488828774
3600,Nuf2,5.777540519634,1,1,1.0657145618799,2.3557163706261,1,2.5889937379527,-1.1802869355529,-1.149519651216,1,-1.2580830175737,1.1115622776697
3606,Spink5,-7.7484172623559,-1.2303398761103,-1.6327173207277,1.21783429527,-1.2548123950143,1.4884594236483,1.4879180080322,-1.1156708857667,1.1542099131263,1.0672903924363,-1.455502648373,-1.0249922932155
3616,Adamtsl3,-1.5030692844893,-1.4333986793497,-1.711283645982,-2.0422034239821,5.8600726473185,1.9297009026728,-1.0091179002967,-1.8153944358209,-1.1411449166817,-1.7654482835153,-1.2928168384839,-1.6477411965627
3621,C530042K13Rik,-1.5319020593711,-2.2951284688263,-2.2758990786029,-1.399867722852,7.1673233850327,3.5797360059536,-1.1637427811184,-1.2000565176899,1.5963422199975,1,-1.3202221048771,-1.340049990495
