12																							
13	2835	8170	9952	11161	14546	18785	21168	21237	23945	26393	27608	27684	28554	35720	36128	37997	38848	41698	45071				
14	19955																						
15																							
16																							
18																							
19																							
20	10192																						
21																							
22	34616																						
23																							
24	11690	33860	41726																				
25	11016	16627																					
26	29639																						
27	7416	8767																					
28	1200	3870	5176	12319	12852	12980	16000	32541	36643	37253	42928												
29	382	21137																					
30																							
31	25419	34488	37187	37905	42948																		
32	5496	14176	24474	27761																			
33																							
34	30630																						
35																							
36	27225																						
37																							
38	3714	11918	18417	24888	25670	29285	32778	33621	35581	37124													
39																							
40	23105	31192																					
41	6460	12600	25816	27725	44932																		
42																							
43																							
44	18122																						
46	4744	18350																					
47	6210	16071	23141	40054																			
48																							
49																							
50	8225																						
51																							
52	17068																						
53	29447																						
54																							
55																							
56																							
57	20164	37313																					
58	16149																						
59	2402	14189																					
60	13178	21290																					
61	35559																						
62	14717	27777	31317																				
63	4285	5924	20528	23344	23767	26585	31313	31731	33408	42346													
64	32075	32196	37778																				
65	14946	15284	24376	35651	37373	37781																	
66	18520																						
67	28257	37443																					
68	29043	33208																					
69																							
70	30505																						
71																							
72	3401																						
73	9359	19880	32725																				
74	7227																						
96																							
97																							
98																							
99	9329	17964																					
100	23747	44576																					
101																							
102																							
103	2008	9457	15220	16374	19249	20099	21833	30369	36771														
104	39037																						
105																							
106	15805	39143																					
107	28701																						
108																							
109																							
110																							
111																							
112																							
113																							
114																							
115	5368	16344																					
116																							
118	37804	44977																					
119	13334																						
120	13095	35414																					
121	19098	27891																					
122	6052	33246																					
123																							
124	10986																						
125																							
126	12242	28427	38088																				
127	39724																						
128	18266																						
129	10672																						
130																							
131																							
132																							
133	6939	25895																					
134	21324	43453	44563																				
136																							
137																							
138																							
139	38376																						
140																							
142																							
143																							
144	13028	30902																					
145	5660	37426																					
146	5088	13112																					
147	30533																						
148	11666	14716																					
149	1354																						
150	3749	30376																					
151																							
152	39834																						
153	17773	41788																					
154																							
155																							
156	8023	39467	41399	43732																			
157																							
158																							
159	39531																						
181	18493																						
182																							
183	17426	41744																					
184	2806	5259	30777																				
185	21696																						
186	42951																						
187																							
188	43563	43930																					
189	29679																						
190	1517																						
191	29682	30141																					
192																							
193																							
194	14470	44519																					
195	5261	16194																					
196	7620																						
197	4576	5651	8003	15660	23025	40689																	
198																							
199																							
200																							
201	16554	28244	30752	30789																			
202	4691	23741	30155	44590																			
203	31695																						
204	38988																						
205	4751																						
206	21929																						
207	4501	25438																					
208	2651	16211	16745	23466	44575																		
209																							
210																							
211																							
213	35388																						
214	5217	30241																					
216	18711	38858																					
217																							
218	5772																						
219																							
220	21336																						
221	30894	36209																					
222																							
223																							
224	14303																						
225																							
227	10705	19546	42455																				
228	13444	14755	34521	34659	35689																		
229	19944																						
230																							
231																							
232																							
233	15361	44904																					
234	20372																						
236																							
237																							
238																							
239																							
240	545	4516	11836	24712	31632	36400	37883	39041	40390	40839													
241	33389	34236																					
242																							
243	566	10598	23373																				
244	34113																						
245	4793	14826	21876	25556	29622	30454	34664	37607	43102														
246																							
265	7047	31257	35269	35449																			
266	44124																						
267																							
268																							
269																							
270	16331	26448	29633																				
271	5246	5414	7669	10808	13995	14643	19121	33000	34127	42268													
272																							
273																							
274	2110	18611	18727	19588	22144	26376	26592	27959	33571	39404													
275	10830	26665																					
276	5685	6294	14446																				
277	24606	40975																					
278	3285	11990	27943	29389	29552	32660	33778	37794	41657														
279																							
280																							
281																							
282	2176	9172	20529																				
283	11277	43560																					
284	27424	31587																					
285	2989																						
286																							
287	25257																						
288																							
289																							
290																							
291																							
292																							
293	671	44666																					
294																							
295	1834																						
296	1067	14599																					
297	26407																						
298	18882	28408	35096																				
299	21671																						
300	26398																						
301	13573	18922	19427																				
302	2965	37498																					
303	1985	13352	15483	17609	20182	23122	29607	36588	36706	37333													
304	4238	18598	24311																				
305	9921	26334																					
306	11929																						
307	4099																						
308																							
309																							
311																							
312	37786																						
313	1551																						
314	7123	21646	21801	26897	27065	28679	29796	32399	37860														
315																							
316																							
317																							
318																							
319																							
320																							
321	2472	23720	23882																				
322																							
323																							
324	16005																						
325	12187	27571																					
326																							
327																							
328																							
329	26683																						
330																							
331	7733	26728																					
350	12553	18033	18675	19265	21207	24268	29350	36387	39783	41363													
351	12006																						
352	19173																						
353	36342																						
354	4433	24926																					
355																							
356																							
357	3896	7826	10063	12414	15045	19313	20125	21140	24973	25055	25100	25170	28871	29521	31381	33053	34049	34126	41802	43080			
358																							
359																							
360	13325																						
361	9313																						
362	14118	26968																					
363	4504	9508	22888																				
364	7509	33399																					
365																							
366																							
367	10985	12112	17993	36133																			
368																							
369	15467	38883																					
370	32185	37563																					
371																							
372																							
373																							
374	3083	3612	7287	9169	15609	17672	25796	31518	33557	41217													
375																							
376																							
377																							
378																							
379	2664																						
380																							
381	39439	43739																					
383																							
384	15413	34253	41610																				
385																							
386	30954																						
387	14466																						
388	42554																						
389																							
390																							
391																							
392	20921																						
393	34985																						
394	2857	4310	5478	16135	18277	34132	35875	36016	38831	44156													
395																							
396	23872	37414																					
397																							
398																							
399	27115	27721																					
400	4609																						
401	29345																						
402	1940	4731	7874	12263	19830	23376	33795	36798	39067	44769													
403																							
404	13773																						
405	15528																						
406	667	2284	9531	16353	17258	18636	28271	37622	37706														
407	22864	27912																					
409	865	2398	18670																				
410	13783	35452																					
411	1824																						
412	4605																						
413	3169	7630	13853	15701	16152	18289	18338	24461	42341														
414																							
415																							
416																							
417																							
434	31451																						
435																							
436	22805																						
437	4412	8390	8577	17124	19839	22439	29249	33376	33796	37615													
438	4974	6925	7683	8833	10387	12377	15632	31504	35628	39524													
439	14852																						
440	28525																						
441																							
442	17472																						
443	4189																						
444																							
445	35487	43816																					
446																							
447																							
448																							
449	35108																						
450	24220																						
451	40625																						
452																							
453																							
454																							
455																							
456	469	6781	8424	8938	9154	9434	12366	21342	36957														
457	2930	7762	13770	18477	27637	28177	29984	30625	34971														
458																							
459																							
460	2217	37956																					
461																							
462	4818	26392																					
463																							
464	41750																						
465																							
466																							
467																							
468																							
470	26228	26523																					
471																							
472																							
473																							
474																							
475																							
476	22322	32236	38277																				
477																							
478																							
479	7775	33293	33769	43153	43238																		
480																							
481	2850	37082																					
482	1886																						
483																							
484																							
485																							
486																							
487																							
488	5213	28141																					
489																							
490	36511																						
491	2271	7658	8004	12306	13859	19471	20624	35053	36472	40728	44338												
492																							
493	24859																						
494																							
495	27403																						
497	22310	27886																					
498																							
499																							
500	37633																						
501	43924																						
502																							
519	30036																						
520																							
521	1655	3890	4415	10649	24428	24500	30158	35426	39488	42657	44849												
522																							
523																							
524	2252																						
525	18088																						
526	17829	20688																					
527	15885																						
528																							
529	13094																						
530	9683	23687																					
531	33056																						
532	4013	25807	29051	38446																			
533																							
534	2859	12597	14224	42007																			
535																							
536	6051	10822	13780	14823	23619	33954																	
537	3248	7368	12887	16015	19292	19800	30518	31483	32266														
538																							
539																							
540																							
541	14761	15258																					
542	25680																						
543	17737																						
544																							
546	7006																						
547																							
548	3860																						
549	834	11603																					
550	7086	13481																					
551	42359																						
552	6388	20183	23272																				
553	5799	15687																					
554	12875																						
555	33929	38246																					
557	13629	27471																					
558	20364																						
559																							
560																							
561																							
562	24636																						
563																							
564																							
565																							
567																							
568																							
569	40339																						
570	14964																						
571																							
572	14867																						
573	12428																						
574	25034																						
575																							
576																							
577																							
578																							
579																							
580	9664	43868																					
581																							
582	3537	12471	14102	37090																			
583	9571																						
584																							
585	9081	18681	41486																				
586																							
587	39557																						
588	3620	23143	25481																				
603	616	15574	18218	34155	37821																		
604	12044	30829	32991																				
605																							
606	17321																						
607																							
608																							
609	20503	36941																					
610	41665																						
611																							
612																							
613																							
615																							
617	1388	33607																					
618																							
619	20438	33516																					
620																							
621																							
622																							
623																							
624																							
625	16823	29895																					
626																							
627	5588																						
628	24397																						
629																							
630																							
631																							
632	37174																						
633																							
634																							
635	14764																						
636	14711	18268	19481	20000	20016	21792	24671	28732	40480	44086													
637																							
638																							
639	13924																						
640	24236	25868																					
641																							
642	10194	35558	37422	37964																			
643																							
644	6794																						
645																							
646	5518																						
647	15466																						
648																							
649																							
650	13883																						
651																							
652	17794																						
653																							
654																							
655	13918	26459																					
656																							
657	19504																						
658	33176																						
659	8798	29359	37698																				
660	40995																						
661	31547	36080	41515																				
662	2451	4362	16300																				
663	14347																						
664	44567																						
665																							
666																							
668	37029	38958																					
669																							
670																							
672	2843	3242																					
673	3871	15973	24917	26374	32039	32605	35867	36981	40614														
688	14487	21389																					
689																							
691	34439																						
692																							
693																							
694	17605	20739	23998																				
695	31086																						
696	5942	10935	22354	22510	25835	26189	32194	33640	33672	44827													
697	11355																						
698	5224	6398	17163	19067																			
699	5235	30377	35732																				
700	25970	42633																					
701	2022	3610	14154	21838	24739	35162	38060	40813	42530														
702	26087	32916																					
703	2403																						
704	32845	45194																					
705	5484	43771																					
706																							
707	31474																						
708																							
709																							
710	34250	35914																					
711																							
712																							
713	30349																						
714																							
715	2884	31797	33552	39835																			
716																							
717	22216	28000																					
718	11043	33911																					
719																							
720	28846	32926																					
721																							
722	11040	27937																					
723	3899																						
724	27238																						
725	1406																						
726																							
727	9260	18182																					
728																							
730																							
731	32058																						
732	22733	40186	40301																				
733	1457	3380	17230	19016	22344	22830	24423	30455	30634	35948													
734	9695	17022																					
735																							
736																							
737	4040	9189	13184	14114	33255	35637	36763	36972	38978														
738	10007																						
739	3855	16853	34038																				
740																							
741																							
742																							
743	7154																						
744	4809																						
745	1589	15390	38043																				
746																							
747																							
748	2513																						
749	18007																						
750	14696																						
751	21879																						
752	21253	34289																					
753	2493																						
754																							
755	44851																						
756																							
757																							
759	39459																						
772	8480	21370	36485																				
773	19384																						
774																							
776	3109																						
777																							
778	20501	30299																					
779	1931	25124	42792																				
780	34189																						
781																							
782																							
783																							
784	12257	19711	26280	28737	31739																		
785	38626																						
786																							
787	28395	30442																					
788																							
789																							
790	23715																						
791																							
792	24267																						
793																							
794	10777																						
795																							
796	1672	6236	12456	20925	23033	24617	24726	27633	31997	33704	36599	37814											
797	11920																						
798																							
799																							
800	28293	33133																					
801	41466																						
802	21869																						
803	8686	13544	15073	25178	31975	34198	36283	37909	39929														
804	15656																						
805																							
806																							
808																							
809	8950	16247																					
810	18070	21920	32939																				
811	16876																						
812	1651	14770	20703	25713	31614	34476	35400	39051	40782	41113	42325												
813	42483																						
814	12903	17662	18905	19862	32719																		
815																							
816	20277	26375	41098																				
817	7222	25499	29528																				
818																							
819																							
820	18585	20964																					
821																							
822	8960	36740																					
823																							
825																							
826																							
827	22009	33981	36987																				
828																							
829																							
830																							
831	24127	42713																					
832	10468	16607																					
833																							
835																							
837	29631																						
838	32880																						
839																							
840																							
841	4485	6587	10858	17466	17834	18588	26460	34452	34613	41556													
842	3434																						
843																							
844	1292	8645	19453	22235	22367	22623	23159	23921	29892														
857	13795	16678																					
858																							
