http://edge.oncology.wisc.edu/agilentarrayinfo.php?arrayid=
http://edge.oncology.wisc.edu/agilentfeatureinfo.php?featurenum=
Zt20 fx/fx
Zt20 CreAlb
Zt8 fx/fx
Zt8 CreAlb
Zt4 fx/fx
1
2
3
4
5
146	 Tubb2a 	NM_009450 	0	1.2395923860276	1.5824755183541	-3.3591623962625	1.1389377818757	1.072920392986
525	 Abca13 	AK036546 	0	1	-7.3076207448863	1	1	1
756	 Asns 	NM_012055 	0	1.6402347174554	-2.598376022724	1.5315987386075	-3.6728230049808	-1.3730552087512
913	 Mt1 	NM_013602 	0	-3.1094458634848	-5.9325854186442	-1.0411665334628	-6.7142885292595	-6.1511030094864
1313	 Rorc 	NM_011281 	0	1.0606280291327	1.2463008752004	-3.5318804923147	1.2277218920273	-3.0531279146806
2067	 Mt1 	NM_013602 	0	-2.7307503626439	-6.7004967364545	-1.0482669657454	-6.8076935869374	-6.5240157376116
3611	 Creld2 	NM_029720 	0	-1.9390053171285	-2.9482818576177	-2.3259533492355	-3.6391503612721	1.2277216093339
3770	 Dopey2 	NM_027293 	0	1.2011775316296	-1.9183904332802	-1.1790751870802	-3.3419504002611	-1.1485116371826
5251	 Cml4 	NM_023455 	0	2.1125986600715	-7.2623136231969	1.3087599606262	-10.964781961432	1.4795069172804
5568	 Saa4 	NM_011316 	0	1.5301781633362	-2.3599293416073	1.3619400776474	-3.0130060241861	-1.8167953096002
6075	 Cml5 	NM_023493 	0	1.9723001148045	-3.1959060214364	-1.6415911420308	-12.589254117942	-1.05936519434
6934	 Mt1 	NM_013602 	0	-2.4965542057869	-5.6138396037824	-1.0488398989363	-7.328245331389	-6.0599354762732
7181	 NAP030950-1 	NAP030950-1 	0	-6.1994476922578	1.1159188147806	-1.0316925631839	-1.056087737624	1.187841789123
7783	 Acox1 	NM_015729 	0	3.680348967056	1.0713303294522	3.5230272306434	1.8030177408596	1.5299174565062
8155	 Saa3 	NM_011315 	0	-2.2682556430266	-4.3157273507088	1.0498107122791	-8.8511560983084	-6.8899330205578
8622	 Scd2 	NM_009128 	0	-1.7884302210332	-1.0180725316086	-3.0592079556092	1.2328209330347	-1.5764892004068
9275	 Saa4 	NM_011316 	0	1.6636692901605	-1.9005005516504	1.4885965221411	-3.0269134281013	-1.4838192465675
9284	 Slc10a2 	NM_011388 	0	-1.1453003673054	-3.5783267908088	-1.2726412620902	-4.4771330417636	1.0638171808996
9853	 Egr1 	NM_007913 	0	2.1733366310983	-1.8120701235153	-2.033883157696	-2.1478304741305	5.5702540105901
10328	 Alas1 	NM_020559 	0	-1.0007383476754	-1.712521371504	1.6048594357093	-1.4354894333537	-3.3648754999053
11845	 BC013476 	NM_201640 	0	1.2629698992362	-1.4110162001437	3.5443369311087	1.3121998990192	2.2036925324941
13057	 Mt1 	NM_013602 	0	-3.5164625777069	-6.9337950407669	-1.0411900279984	-6.1376200516479	-6.0254154956294
13115	 Elovl3 	NM_007703 	0	-1.0225676282288	1.8366736694799	-4.8808223422804	1.3772094688939	-1.5023426617452
13439	 TC1515419 	TC1515419 	0	-2.0107727915057	-2.1623351097731	-1.4229806680415	-1.531087461682	-3.2771174007623
14002	 Mt2 	NM_008630 	0	-11.955562110384	-19.095014829955	-1.8303831114924	-19.952623149689	-16.391926573295
14523	 Gstm2 	NM_008183 	0	-3.9784691977549	1.6842129409117	-3.9560065318594	1.6982436524617	-3.6423191734779
14940	 Saa1 	NM_009117 	0	-1.0406298996458	-1.5617014013481	1.1806076690336	-3.3036954103681	-2.7145009626086
15179	 Ly6e 	NM_008529 	0	1.3442220032935	2.380652462905	1.2876267783892	3.1477483141013	-1.4076737109243
15759	 S100a9 	NM_009114 	0	-3.0763022278643	-2.9453777381689	-1.7871623227485	-3.926449353996	-1.3280089440938
15816	 Nr1d1 	NM_145434 	0	-5.4355938675834	-4.8166268245964	6.9008883344402	1.4354894333537	4.5395520496317
16000	 Sox9 	NM_011448 	0	-1.2977737934478	1.4087242802325	-3.2797670617838	1.3583134465872	-1.421130629964
16394	 Ndrg1 	NM_010884 	0	-5.2618322689952	1.1483170151054	-4.2916075435641	2.162718523727	-1.6012531606861
16511	 Lpl 	NM_008509 	0	-6.2126945235496	1.65622371923	-7.7935800406245	2.5941793621188	-3.0070801234342
16739	 Mfsd2 	NM_029662 	0	-1.5309711259495	-3.5980318215989	1.9886987465165	-2.4888573182824	-2.7322409743932
17054	 Dct 	NM_010024 	0	1.5249268103676	-2.2257121674813	1.0541664737825	-3.2885163087598	-1.1440581519317
17186	 Mt1 	NM_013602 	0	-3.6854116129761	-7.9040740441038	-1.0506067820369	-7.328245331389	-6.2795713592412
17572	 Nr1d2 	NM_011584 	0	-2.9997150360274	-4.8116053599383	3.4088587020557	-2.0558905959841	2.019179833118
18368	 Sult1a1 	NM_133670 	0	1.2693196403539	-1.8881956814073	1.1132012876124	-3.2583670100201	-1.2398732777156
18450	 Hnrpa2b1 	AF073993 	0	-5.2398758833958	1.1091559160499	1.260366931558	1.3001695780333	1.4108959928242
18619	 Ndufb7 	NM_025843 	0	3.1925742023602	1.0243736533786	1.0727212899276	-1.0210570304759	-1.0284914838837
18993	 Cyp7a1 	NM_007824 	0	-1.7169118574831	1.9549830664347	1.231163410438	-1.7258378919902	-5.7686341947247
19489	 Dtl 	AK012919 	0	1	-4.087859870357	1	1	1
19574	 Lin28 	NM_145833 	0	1	-3.8699379351841	1	1	1
19844	 Cyp4a10 	NM_010011 	0	1.4689026015404	-1.4815898701086	3.1663651725401	1.4060475241299	1.9679134772485
